id,name,level
ES-C,La Coruña,province
ES-AB,Albacete,province
ES-A,Alicante,province
ES-AL,Almería,province
ES-AN,Andalusia,
ES-AS,Asturie,autonomous community
ES-BA,Badajoz,province
ES-IB,Isole Baleari,autonomous community
ES-B,Barcellona,province
ES-BU,Burgos,province
ES-CA,Cadice,province
ES-S,Cantabria,province
ES-CS,Castelló,province
ES-CM,Castiglia-La Mancia,autonomous community
ES-CL,Castiglia e León,autonomous community
ES-CT,Catalogna,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-CC,Cáceres,province
ES-CO,Córdoba,province
ES-EX,Estremadura,autonomous community
ES-GA,Galizia,autonomous community
ES-SS,Guipúzcoa,province
ES-GI,Girona,province
ES-GR,Granada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-HU,Huesca,province
ES-J,Jaen,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,Leon,province
ES-L,Lleida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcia,autonomous community
ES-MA,Málaga,province
ES-NC,Navarra,autonomous community
ES-OR,Ourense,province
ES-P,Palencia,province
ES-PO,Pontevedra,province
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segovia,province
ES-SE,Siviglia,province
ES-SO,Soria,province
ES-T,Tarragona,province
ES-TE,Teruel,province
ES-TO,Toledo,province
ES-V,Valencia,province
ES-VC,Comunità Valenzana,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Saragozza,province
ES-VI,Álava,province
