id,name,level
FR-01,Ain,metropolitan department
FR-02,Aisne,metropolitan department
FR-03,Allier,metropolitan department
FR-06,Alpi Marittime,metropolitan department
FR-A,Alsazia,metropolitan regions
FR-B,Aquitania,metropolitan regions
FR-08,Ardenne,metropolitan department
FR-07,Ardèche,metropolitan department
FR-09,Ariège,metropolitan department
FR-10,Aube,metropolitan department
FR-11,Aude,metropolitan department
FR-12,Aveyron,metropolitan department
FR-67,Basso Reno,metropolitan department
FR-13,Bocche del Rodano,metropolitan department
FR-D,Borgogna,metropolitan regions
FR-14,Calvados,metropolitan department
FR-15,Cantal,metropolitan department
FR-F,Center,metropolitan regions
FR-G,Champagne-Ardenne,metropolitan regions
FR-16,Charente,metropolitan department
FR-17,Charente Marittima,metropolitan department
FR-18,Cher,metropolitan department
FR-CP,Clipperton,dependency
FR-19,Corrèze,metropolitan department
FR-2A,Corsica del Sud,metropolitan department
FR-H,Corsica,metropolitan regions
FR-23,Creuse,metropolitan department
FR-79,Deux-Sèvres,metropolitan department
FR-24,Dordogna,metropolitan department
FR-25,Doubs,metropolitan department
FR-26,Drôme,metropolitan department
FR-91,Essonne,metropolitan department
FR-27,Eure,metropolitan department
FR-28,Eure-et-Loir,metropolitan department
FR-29,Finistère,metropolitan department
FR-I,Franca Contea,metropolitan regions
FR-30,Gard,metropolitan department
FR-32,Gers,metropolitan department
FR-33,Gironda,metropolitan department
FR-GP,Guadalupa,overseas regions
FR-68,Alto Reno,metropolitan department
FR-2B,Alta Corsica,metropolitan department
FR-31,Alta Garonna,metropolitan department
FR-P,Bassa Normandia,metropolitan regions
FR-GF,Guyana francese,overseas regions
FR-43,Alta Loira,metropolitan department
FR-52,Alta Marna,metropolitan department
FR-74,Alta Savoia,metropolitan department
FR-70,Alta Saona,metropolitan department
FR-87,Alta Vienne,metropolitan department
FR-05,Alte Alpi,metropolitan department
FR-65,Alti Pirenei,metropolitan department
FR-92,Hauts-de-Seine,metropolitan department
FR-34,Hérault,metropolitan department
FR-35,Ille-et-Vilaine,metropolitan department
FR-36,Indre,metropolitan department
FR-37,Indre e Loira,metropolitan department
FR-38,Isère,metropolitan department
FR-39,Giura,metropolitan department
FR-K,Linguadoca-Rossiglione,metropolitan regions
FR-41,Loir-et-Cher,metropolitan department
FR-42,Loira,metropolitan department
FR-44,Loira Atlantica,metropolitan department
FR-45,Loiret,metropolitan department
FR-M,Lorraine,metropolitan regions
FR-46,LOT,metropolitan department
FR-47,Lot e Garonna,metropolitan department
FR-48,Lozère,metropolitan department
FR-49,Maine e Loira,metropolitan department
FR-50,Manica,metropolitan department
FR-51,Marna,metropolitan department
FR-MQ,Martinica,overseas regions
FR-53,Mayenne,metropolitan department
FR-YT,Mayotte,territorial collectivity
FR-54,Meurthe e Mosella,metropolitan department
FR-55,Mosa,metropolitan department
FR-N,Midi-Pirenei,metropolitan regions
FR-56,Morbihan,metropolitan department
FR-57,Mosella,metropolitan department
FR-58,Nièvre,metropolitan department
FR-59,Nord,metropolitan department
FR-O,Nord-Passo di Calais,metropolitan regions
FR-60,Oise,metropolitan department
FR-61,Orne,metropolitan department
FR-75,Parigi,metropolitan department
FR-62,Passo di Calais,metropolitan department
FR-R,Paesi della Loira,metropolitan regions
FR-S,Piccardia,metropolitan regions
FR-T,Poitou-Charentes,metropolitan regions
FR-Q,Alta Normandia,metropolitan regions
FR-PF,Polinesia francese,overseas territory
FR-NC,Nuova Caledonia,overseas territory
FR-RE,Riunione,overseas regions
FR-U,Provenza-Alpi-Costa Azzurra,metropolitan regions
FR-63,Puy-de-Dôme,metropolitan department
FR-64,Pirenei Atlantici,metropolitan department
FR-66,Pirenei Orientali,metropolitan department
FR-69,Rodano,metropolitan department
FR-V,Rodano-Alpi,metropolitan regions
FR-72,Sarthe,metropolitan department
FR-73,Savoia,metropolitan department
FR-71,Saona e Loira,metropolitan department
FR-76,Senna Marittima,metropolitan department
FR-93,Senna-Saint-Denis,metropolitan department
FR-77,Senna e Marna,metropolitan department
FR-80,Somme,metropolitan department
FR-82,Tarn e Garonna,metropolitan department
FR-90,Territorio di Belfort,metropolitan department
FR-94,Valle della Marna,metropolitan department
FR-83,VAR,metropolitan department
FR-84,Vaucluse,metropolitan department
FR-85,Vandea,metropolitan department
FR-86,Vienne,metropolitan department
FR-88,Vosgi,metropolitan department
FR-89,Yonne,metropolitan department
FR-78,Yvelines,metropolitan department
FR-J,Île-de-France,metropolitan regions
FR-MF,Saint-Martin,overseas territorial collectivity
FR-BL,Saint-Barthélemy,overseas territorial collectivity
FR-PM,Saint-Pierre e Miquelon,territorial collectivity
FR-WF,Wallis e Futuna,overseas territory
