id,name,level
MT-01,Attard,local council
MT-02,Balzan,local council
MT-03,Vittoriosa,local council
MT-04,Birchircara,local council
MT-05,Birzebbugia,local council
MT-06,Cospicua,local council
MT-07,Dingli,local council
MT-08,Figura,local council
MT-09,Floriana,local council
MT-10,Fontana,local council
MT-11,Gudia,local council
MT-13,Għajnsielem,local council
MT-14,Garbo,local council
MT-15,Gargur,local council
MT-16,Għasri,local council
MT-17,Asciac,local council
MT-12,Gezira,local council
MT-35,Marfa,local council
MT-21,Calcara,local council
MT-22,Kerċem,local council
MT-23,Chircop,local council
MT-24,Lia,local council
MT-25,Luca,local council
MT-26,Marsa,local council
MT-27,Marsascala,local council
MT-28,Marsa Scirocco,local council
MT-29,Medina,local council
MT-30,Mellieħa,local council
MT-32,Musta,local council
MT-33,Micabba,local council
MT-34,Msida,local council
MT-36,Monsciar,local council
MT-31,Mugiarro,local council
MT-37,Nadur,local council
MT-38,Nasciaro,local council
MT-39,Paola,local council
MT-40,Pembroke,local council
MT-41,Pietà,local council
MT-43,Curmi,local council
MT-44,Crendi,local council
MT-47,Safi,local council
MT-49,San Giovanni,local council
MT-20,Senglea,local council
MT-48,San Giuliano,local council
MT-18,Ħamrun,local council
MT-46,Rabat,local council
MT-50,San Lorenzo,local council
MT-45,Rabat,local council
MT-52,Sannat,local council
MT-53,Santa Lucia,local council
MT-54,Santa Venera,local council
MT-55,Suggeui,local council
MT-56,Sliema,local council
MT-57,Swieqi,local council
MT-59,Tarscen,local council
MT-60,La Valletta,local council
MT-61,Caccia,local council
MT-62,Xeuchia,local council
MT-63,Sciaira,local council
MT-64,Zabbar,local council
MT-67,Zeitun,local council
MT-68,Zurrico,local council
MT-65,Żebbuġ,local council
MT-66,Casal Zebbugi,local council
