id,name,level
PL-WP,Voivodato della Grande Polonia,voivodship
PL-KP,Voivodato della Cuiavia-Pomerania,voivodship
PL-MA,Voivodato della Piccola Polonia,voivodship
PL-DS,Voivodato della Bassa Slesia,voivodship
PL-LU,Voivodato di Lublino,voivodship
PL-LB,Voivodato di Lubusz,voivodship
PL-MZ,Voivodato della Masovia,voivodship
PL-OP,Voivodato di Opole,voivodship
PL-PK,Voivodato della Precarpazia,voivodship
PL-PD,Voivodato della Podlachia,voivodship
PL-PM,Voivodato della Pomerania,voivodship
PL-SL,Voivodato della Slesia,voivodship
PL-WN,Voivodato della Varmia-Masuria,voivodship
PL-ZP,Voivodato della Pomerania Occidentale,voivodship
PL-SK,Voivodato della Santacroce,voivodship
