id,name,level
RO-BC,Bacău,county
RO-BN,Distretto di Bistrița-Năsăud,county
RO-BT,Botoșani,county
RO-BV,Brașov,county
RO-BR,Brăila,county
RO-B,Bucarest,city
RO-BZ,Buzău,county
RO-CS,Distretto di Caraș-Severin,county
RO-CJ,Cluj-Napoca,county
RO-CT,Costanza,county
RO-CV,Covasna,county
RO-CL,Călăraşi,county
RO-DJ,Distretto di Dolj,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Distretto di Gorj,county
RO-HR,Distretto di Harghita,county
RO-HD,Hunedoara,county
RO-IS,Iași,county
RO-IF,Distretto di Ilfov,county
RO-MM,Maramureş,county
RO-MH,Distretto di Mehedinți,county
RO-MS,Distretto di Mureș,county
RO-NT,Distretto di Neamț,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-TR,Distretto di Teleorman,county
RO-TL,Tulcea,county
RO-VS,Vaslui,county
RO-VL,Distretto di Vâlcea,county
