id,name,level
RS-00,Belgrado,city
RS-14,Distretto di Bor,district
RS-11,Distretto di Braničevo,district
RS-02,Distretto del Banato Centrale,district
RS-23,Distretto di Jablanica,district
RS-09,Distretto di Kolubara,district
RS-08,Distretto di Mačva,district
RS-17,Distretto di Moravica,district
RS-20,Distretto di Nišava,district
RS-03,Distretto del Banato Settentrionale,district
RS-01,Distretto della Bačka Settentrionale,district
RS-22,Distretto di Pirot,district
RS-10,Distretto di Podunavlje,district
RS-13,Distretto di Pomoravlje,district
RS-24,Distretto di Pčinja,district
RS-19,Distretto di Rasina,district
RS-04,Distretto del Banato Meridionale,district
RS-07,Distretto della Sirmia,district
RS-16,Distretto di Zlatibor,district
RS-12,Distretto di Šumadija,district
RS-28,Distretto di Kosovska Mitrovica,district
RS-26,Distretto di Peć,district
RS-27,Distretto di Prizren,district
