country,id,name,level
AD,AD-07,Andorra la Vella,parish
AT,AT-9,Wien,state
BY,BY-HM,Minsk,city
BE,BE-VAN,Antwerpen,province
BE,BE-BRU,Haaptstadregioun Bréissel,capital region
BE,BE-VOV,Provënz Ostflandern,province
BE,BE-VBR,Provënz Flämesche Brabant,province
BE,BE-VLI,Limburg,province
BE,BE-WLG,Léck,province
BE,BE-WLX,Lëtzebuerg,province
BE,BE-WNA,Namur,province
BE,BE-WBR,Provënz Wallounesche Brabant,province
BE,BE-VWV,Provënz Westflandern,province
DK,DK-015,Kopenhagen,county
DK,DK-85,Provënz Zeeland,region
FR,FR-01,Departement Ain,metropolitan department
FR,FR-02,Departement Aisne,metropolitan department
FR,FR-03,Departement Allier,metropolitan department
FR,FR-06,Departement Alpes-Maritimes,metropolitan department
FR,FR-04,Departement Alpes-de-Haute-Provence,metropolitan department
FR,FR-A,Elsass,metropolitan regions
FR,FR-B,Aquitaine,metropolitan regions
FR,FR-08,Ardennen,metropolitan department
FR,FR-07,Departement Ardèche,metropolitan department
FR,FR-09,Departement Ariège,metropolitan department
FR,FR-10,Departement Aube,metropolitan department
FR,FR-11,Departement Aude,metropolitan department
FR,FR-12,Departement Aveyron,metropolitan department
FR,FR-67,Departement Bas-Rhin,metropolitan department
FR,FR-13,Departement Bouches-du-Rhône,metropolitan department
FR,FR-14,Departement Calvados,metropolitan department
FR,FR-15,Departement Cantal,metropolitan department
FR,FR-F,Centre,metropolitan regions
FR,FR-G,Champagne-Ardenne,metropolitan regions
FR,FR-16,Departement Charente,metropolitan department
FR,FR-17,Departement Charente-Maritime,metropolitan department
FR,FR-19,Departement Corrèze,metropolitan department
FR,FR-2A,Departement Corse-du-Sud,metropolitan department
FR,FR-H,Korsika,metropolitan regions
FR,FR-23,Departement Creuse,metropolitan department
FR,FR-79,Departement Deux-Sèvres,metropolitan department
FR,FR-24,Departement Dordogne,metropolitan department
FR,FR-25,Departement Doubs,metropolitan department
FR,FR-26,Departement Drôme,metropolitan department
FR,FR-91,Departement Essonne,metropolitan department
FR,FR-27,Departement Eure,metropolitan department
FR,FR-28,Departement Eure-et-Loir,metropolitan department
FR,FR-29,Departement Finistère,metropolitan department
FR,FR-I,Franche-Comté,metropolitan regions
FR,FR-33,Departement Gironde,metropolitan department
FR,FR-GP,Departement Guadeloupe,overseas regions
FR,FR-68,Departement Haut-Rhin,metropolitan department
FR,FR-2B,Departement Haute-Corse,metropolitan department
FR,FR-P,Basse-Normandie,metropolitan regions
FR,FR-GF,Guyane,overseas regions
FR,FR-43,Departement Haute-Loire,metropolitan department
FR,FR-52,Departement Haute-Marne,metropolitan department
FR,FR-74,Departement Haute-Savoie,metropolitan department
FR,FR-70,Departement Haute-Saône,metropolitan department
FR,FR-05,Departement Hautes-Alpes,metropolitan department
FR,FR-92,Departement Hauts-de-Seine,metropolitan department
FR,FR-34,Departement Hérault,metropolitan department
FR,FR-35,Departement Ille-et-Vilaine,metropolitan department
FR,FR-36,Departement Indre,metropolitan department
FR,FR-38,Departement Isère,metropolitan department
FR,FR-39,Jura,metropolitan department
FR,FR-K,Languedoc-Roussillon,metropolitan regions
FR,FR-42,Departement Loire,metropolitan department
FR,FR-44,Departement Loire-Atlantique,metropolitan department
FR,FR-48,Departement Lozère,metropolitan department
FR,FR-49,Departement Maine-et-Loire,metropolitan department
FR,FR-50,Departement Manche,metropolitan department
FR,FR-51,Departement Marne,metropolitan department
FR,FR-MQ,Departement Martinique,overseas regions
FR,FR-53,Departement Mayenne,metropolitan department
FR,FR-YT,Departement Mayotte,territorial collectivity
FR,FR-54,Departement Meurthe-et-Moselle,metropolitan department
FR,FR-55,Departement Meuse,metropolitan department
FR,FR-N,Midi-Pyrénées,metropolitan regions
FR,FR-56,Departement Morbihan,metropolitan department
FR,FR-57,Departement Moselle,metropolitan department
FR,FR-58,Departement Nièvre,metropolitan department
FR,FR-O,Nord-Pas-de-Calais,metropolitan regions
FR,FR-60,Departement Oise,metropolitan department
FR,FR-61,Departement Orne,metropolitan department
FR,FR-75,Paräis,metropolitan department
FR,FR-62,Departement Pas-de-Calais,metropolitan department
FR,FR-R,Pays de la Loire,metropolitan regions
FR,FR-S,Picardie,metropolitan regions
FR,FR-T,Poitou-Charentes,metropolitan regions
FR,FR-Q,Haute-Normandie,metropolitan regions
FR,FR-PF,Franséisch-Polynesien,overseas territory
FR,FR-NC,Neikaledonien,overseas territory
FR,FR-RE,Departement La Réunion,overseas regions
FR,FR-63,Departement Puy-de-Dôme,metropolitan department
FR,FR-64,Departement Pyrénées-Atlantiques,metropolitan department
FR,FR-69,Rhône,metropolitan department
FR,FR-V,Rhône-Alpes,metropolitan regions
FR,FR-72,Departement Sarthe,metropolitan department
FR,FR-76,Departement Seine-Maritime,metropolitan department
FR,FR-93,Departement Seine-Saint-Denis,metropolitan department
FR,FR-77,Departement Seine-et-Marne,metropolitan department
FR,FR-80,Departement Somme,metropolitan department
FR,FR-81,Tarn,metropolitan department
FR,FR-82,Departement Tarn-et-Garonne,metropolitan department
FR,FR-90,Territoire de Belfort,metropolitan department
FR,FR-94,Departement Val-de-Marne,metropolitan department
FR,FR-85,Departement Vendée,metropolitan department
FR,FR-86,Departement Vienne,metropolitan department
FR,FR-88,Departement Vosges,metropolitan department
FR,FR-89,Departement Yonne,metropolitan department
FR,FR-78,Departement Yvelines,metropolitan department
FR,FR-BL,Saint-Barthélemy,overseas territorial collectivity
FR,FR-PM,Saint-Pierre a Miquelon,territorial collectivity
FR,FR-WF,Wallis a Futuna,overseas territory
DE,DE-BW,Baden-Württemberg,state
DE,DE-BY,Bayern,state
DE,DE-BE,Berlin,state
DE,DE-BB,Brandenburg,state
DE,DE-HB,Bremen,state
DE,DE-HH,Hamburg,state
DE,DE-HE,Hessen,state
DE,DE-RP,Rheinland-Pfalz,state
DE,DE-SL,Saarland,state
IN,IN-GA,Goa,state
IE,IE-D,Dublin,county
IL,IL-HA,Haifa,district
IL,IL-JM,Jerusalem,district
IL,IL-TA,Tel Aviv,district
IT,IT-BA,Bari,province
IT,IT-BO,Bologna,province
IT,IT-BZ,Bozen,province
IT,IT-CA,Cagliari,province
IT,IT-CR,Cremona,province
IT,IT-FM,Fermo,province
IT,IT-FE,Ferrara,province
IT,IT-FI,Florenz,province
IT,IT-ME,Messina,province
IT,IT-MI,Mailand,province
IT,IT-PA,Palermo,province
IT,IT-PR,Parma,province
IT,IT-PG,Perugia,province
IT,IT-21,Piemont,region
IT,IT-PI,Pisa,province
IT,IT-88,Sardinien,region
IT,IT-82,Sizilien,region
IT,IT-TR,Terni,province
IT,IT-TO,Turin,province
IT,IT-52,Toskana,region
IT,IT-UD,Udine,province
IT,IT-55,Umbrien,region
IT,IT-VA,Varese,province
IT,IT-34,Venetien,region
IT,IT-VE,Venedeg,province
LU,LU-D,Gemeng Dikrech,district
LU,LU-G,Gemeng Gréiwemaacher,district
LU,LU-L,Lëtzebuerg,district
NL,NL-AW,Aruba,country
