id,name,level
IT-BA,Bari,province
IT-BO,Bologna,province
IT-BZ,Bozen,province
IT-CA,Cagliari,province
IT-CR,Cremona,province
IT-FM,Fermo,province
IT-FE,Ferrara,province
IT-FI,Florenz,province
IT-ME,Messina,province
IT-MI,Mailand,province
IT-PA,Palermo,province
IT-PR,Parma,province
IT-PG,Perugia,province
IT-21,Piemont,region
IT-PI,Pisa,province
IT-88,Sardinien,region
IT-82,Sizilien,region
IT-TR,Terni,province
IT-TO,Turin,province
IT-52,Toskana,region
IT-UD,Udine,province
IT-55,Umbrien,region
IT-VA,Varese,province
IT-34,Venetien,region
IT-VE,Venedeg,province
