id,name,level
US-AL,Alabama,state
US-AZ,Arizona,state
US-AR,Arkansas,state
US-CA,Kalifornien,state
US-CO,Colorado,state
US-CT,Connecticut,state
US-DE,Delaware,state
US-FL,Florida,state
US-GA,Georgien,state
US-GU,Guam,outlying area
US-HI,Hawaii,state
US-IL,Illinois,state
US-LA,Louisiana,state
US-MS,Mississippi,state
US-NH,New Hampshire,state
US-NM,New Mexico,state
US-NY,New York,state
US-OK,Oklahoma,state
US-PR,Puerto Rico,outlying area
US-TX,Texas,state
US-DC,Washington,district
US-VA,Virginia,state
US-WA,Washington,state
US-WI,Wisconsin,state
US-WY,Wyoming,state
