id,name,level
ES-C,A Coruña,province
ES-AB,Albacete,province
ES-A,Alicante,province
ES-AL,Almería,province
ES-AN,Andalusië,
ES-AS,Asturië,autonomous community
ES-BA,Badajoz,province
ES-IB,Balearen,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-CA,Cádiz,province
ES-S,Cantabrië,province
ES-CS,Castellón,province
ES-CM,Castilië-La Mancha,autonomous community
ES-CL,Castilië en León,autonomous community
ES-CT,Catalonië,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-CC,Cáceres,province
ES-CO,Córdoba,province
ES-EX,Extremadura,autonomous community
ES-GA,Galicië,autonomous community
ES-SS,Gipuzkoa,province
ES-GI,Gerona,province
ES-GR,Granada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-HU,Huesca,province
ES-J,Jaén,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,Leon,province
ES-L,Lerida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcia,autonomous community
ES-MA,Málaga,province
ES-NC,Navarra,autonomous community
ES-OR,Ourense,province
ES-P,Palencia,province
ES-PO,Pontevedra,province
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segovia,province
ES-SE,Sevilla,province
ES-SO,Soria,province
ES-T,Tarragona,province
ES-TE,Teruel,province
ES-TO,Toledo,province
ES-V,Valencia,province
ES-VC,Valencia,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Zaragoza,province
ES-VI,Álava,province
ES-AV,Avila,province
