id,name,level
RS-00,Belgrado,city
RS-14,Bor,district
RS-11,Braničevo,district
RS-02,Centraal-Banaat,district
RS-23,Jablanica,district
RS-09,Kolubara,district
RS-08,Mačva,district
RS-17,Moravica,district
RS-20,Nišava,district
RS-03,Noord-Banaat,district
RS-01,Noord-Bačka,district
RS-22,Pirot,district
RS-10,Podunavlje,district
RS-13,Pomoravlje,district
RS-24,Pčinja,district
RS-19,Rasina,district
RS-04,Zuid-Banaat,district
RS-07,Srem,district
RS-16,Zlatibor,district
RS-12,Šumadija,district
RS-26,Pejë,district
RS-27,Prizren,district
