id,name,level
UA-71,Oblast Tsjerkasy,region
UA-74,Oblast Tsjernihiv,region
UA-77,Oblast Tsjernivtsi,region
UA-43,Krim,autonomous republic
UA-12,Oblast Dnjepropetrovsk,region
UA-14,Oblast Donetsk,region
UA-26,Oblast Ivano-Frankivsk,region
UA-63,Oblast Charkov,region
UA-65,Oblast Cherson,region
UA-68,Oblast Chmelnytsky,region
UA-30,Kiev,region
UA-32,Oblast Kiev,region
UA-35,Oblast Kirovohrad,region
UA-09,Oblast Loehansk,region
UA-46,Oblast Lviv,region
UA-48,Oblast Mykolajiv,region
UA-51,Oblast Odessa,region
UA-53,Oblast Poltava,region
UA-56,Oblast Rivne,region
UA-40,Sebastopol,region
UA-59,Oblast Soemy,region
UA-61,Oblast Ternopil,region
UA-05,Oblast Vinnytsja,region
UA-07,Oblast Wolynië,region
UA-21,Oblast Transkarpatië,region
UA-23,Oblast Zaporizja,region
UA-18,Oblast Zjytomyr,region
