A Coruña (ES-C)
Albacete (ES-AB)
Alicante (ES-A)
Almería (ES-AL)
Andalusië (ES-AN)
Asturië (ES-AS)
Badajoz (ES-BA)
Balearen (ES-IB)
Barcelona (ES-B)
Burgos (ES-BU)
Cádiz (ES-CA)
Cantabrië (ES-S)
Castellón (ES-CS)
Castilië-La Mancha (ES-CM)
Castilië en León (ES-CL)
Catalonië (ES-CT)
Ceuta (ES-CE)
Ciudad Real (ES-CR)
Cuenca (ES-CU)
Cáceres (ES-CC)
Córdoba (ES-CO)
Extremadura (ES-EX)
Galicië (ES-GA)
Gipuzkoa (ES-SS)
Gerona (ES-GI)
Granada (ES-GR)
Guadalajara (ES-GU)
Huelva (ES-H)
Huesca (ES-HU)
Jaén (ES-J)
Las Palmas de Gran Canaria (ES-GC)
Leon (ES-LE)
Lerida (ES-L)
Lugo (ES-LU)
Madrid (ES-MD)
Melilla (ES-ML)
Murcia (ES-MC)
Málaga (ES-MA)
Navarra (ES-NC)
Ourense (ES-OR)
Palencia (ES-P)
Pontevedra (ES-PO)
Salamanca (ES-SA)
Santa Cruz de Tenerife (ES-TF)
Segovia (ES-SG)
Sevilla (ES-SE)
Soria (ES-SO)
Tarragona (ES-T)
Teruel (ES-TE)
Toledo (ES-TO)
Valencia (ES-V)
Valencia (ES-VC)
Valladolid (ES-VA)
Zamora (ES-ZA)
Zaragoza (ES-Z)
Álava (ES-VI)
Avila (ES-AV)
