id,name,level
IN-AN,Andamanene og Nikobarene,union territory
IN-AP,Andhra Pradesh,state
IN-AR,Arunachal Pradesh,state
IN-AS,Assam,state
IN-BR,Bihar,state
IN-CH,Chandigarh,union territory
IN-CT,Chhattisgarh,state
IN-DN,Dadra og Nagar Haveli,union territory
IN-DD,Daman og Diu,union territory
IN-DL,Delhi,union territory
IN-GA,Goa,state
IN-GJ,Gujarat,state
IN-HR,Haryana,state
IN-HP,Himachal Pradesh,state
IN-JK,Jammu og Kashmir,state
IN-JH,Jharkhand,state
IN-KA,Karnataka,state
IN-KL,Kerala,state
IN-LD,Lakkadivene,union territory
IN-MP,Madhya Pradesh,state
IN-MH,Maharashtra,state
IN-MN,Manipur,state
IN-ML,Meghalaya,state
IN-MZ,Mizoram,state
IN-NL,Nagaland,state
IN-OR,Orissa,state
IN-PY,Puducherry,union territory
IN-RJ,Rajasthan,state
IN-SK,Sikkim,state
IN-TN,Tamil Nadu,state
IN-TR,Tripura,state
IN-UP,Uttar Pradesh,state
IN-UT,Uttarakhand,state
IN-WB,Vest-Bengal,state
