id,name,level
PL-WP,Storpolske voivodskap,voivodship
PL-KP,Kujaviskpommerske voivodskap,voivodship
PL-MA,Lillepolske voivodskap,voivodship
PL-DS,Nederschlesiske voivodskap,voivodship
PL-LU,Lublin voivodskap,voivodship
PL-LB,Lubusz voivodskap,voivodship
PL-MZ,Masoviske voivodskap,voivodship
PL-OP,Opole voivodskap,voivodship
PL-PK,Subkarpatiske voivodskap,voivodship
PL-PD,Podlasie voivodskap,voivodship
PL-PM,Pommerske voivodskap,voivodship
PL-SL,Schlesiske voivodskap,voivodship
PL-WN,Ermlandskmasuriske voivodskap,voivodship
PL-ZP,Vestpommerske voivodskap,voivodship
PL-SK,Helligkorsvoivodskapet,voivodship
