id,name,level
RO-AB,Alba,county
RO-AR,Arad,county
RO-BC,Bacău,county
RO-BN,Bistrița-Năsăud,county
RO-BT,Botoșani,county
RO-BV,Brașov,county
RO-BR,Brăila,county
RO-B,București,city
RO-CS,Caraș-Severin,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constanța,county
RO-CL,Călărași,county
RO-DJ,Dolj,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Gorj,county
RO-HR,Harghita,county
RO-IS,Iași,county
RO-IF,Ilfov,county
RO-MH,Mehedinți,county
RO-MS,Mureș,county
RO-NT,Neamț,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-TR,Teleorman,county
RO-TL,Tulcea,county
RO-VS,Vaslui,county
RO-VL,Vâlcea,county
