id,name,level
SE-K,Blekinge län,county
SE-W,Dalarnas län,county
SE-I,Gotlands län,county
SE-X,Gävleborgs län,county
SE-N,Hallands län,county
SE-Z,Jämtlands län,county
SE-F,Jönköpings län,county
SE-H,Kalmar län,county
SE-G,Kronobergs län,county
SE-BD,Norrbottens län,county
SE-M,Skåne län,county
SE-AB,Stockholms län,county
SE-D,Södermanlands län,county
SE-C,Uppsala län,county
SE-S,Värmlands län,county
SE-AC,Västerbottens län,county
SE-Y,Västernorrlands län,county
SE-U,Västmanlands län,county
SE-O,Västra Götalands län,county
SE-T,Örebro län,county
SE-E,Östergötlands län,county
