id,name,level
CH-AG,Argowia,canton
CH-AR,Appenzell Ausserrhoden,canton
CH-AI,Appenzell Innerrhoden,canton
CH-BL,Bazylea-Okręg,canton
CH-BS,Bazylea-Miasto,canton
CH-BE,Berno,canton
CH-FR,Fryburg,canton
CH-GL,Glarus,canton
CH-GR,Gryzonia,canton
CH-JU,Jura,canton
CH-NE,Neuchâtel,canton
CH-NW,Nidwalden,canton
CH-OW,Obwalden,canton
CH-SG,Sankt Gallen,canton
CH-SH,Szafuza,canton
CH-SZ,Schwyz,canton
CH-SO,Solura,canton
CH-TG,Turgowia,canton
CH-TI,Ticino,canton
CH-UR,Uri,canton
CH-VS,Valais,canton
CH-VD,Vaud,canton
CH-ZG,Zug,canton
CH-GE,Genewa,canton
CH-LU,Lucerna,canton
CH-ZH,Zurych,canton
