id,name,level
ES-C,A Coruña,province
ES-AB,Albacete,province
ES-A,Alicante,province
ES-AL,Almería,province
ES-AN,Andaluzja,
ES-AS,Asturia,autonomous community
ES-BA,Badajoz,province
ES-IB,Baleary,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-CA,Kadyks,province
ES-S,Kantabria,province
ES-CS,Castellón,province
ES-CM,Kastylia-La Mancha,autonomous community
ES-CL,Kastylia i León,autonomous community
ES-CT,Katalonia,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-CO,Córdoba,province
ES-EX,Estremadura,autonomous community
ES-GA,Galicja,autonomous community
ES-SS,Prowincja Guipúzcoa,province
ES-GI,Girona,province
ES-GR,Grenada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-HU,Huesca,province
ES-J,Jaén,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,Leon,province
ES-L,Lleida,province
ES-LU,Lugo,province
ES-MD,Madryt,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcja,autonomous community
ES-MA,Malaga,province
ES-NC,Nawarra,autonomous community
ES-OR,Ourense,province
ES-P,Palencia,province
ES-PO,Pontevedra,province
ES-SA,Salamanka,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segowia,province
ES-SE,Sewilla,province
ES-SO,Soria,province
ES-T,Tarragona,province
ES-TE,Teruel,province
ES-TO,Toledo,province
ES-V,Walencja,province
ES-VC,Walencja,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Saragossa,province
ES-VI,Prowincja Araba,province
