id,name,level
FR-01,Ain,metropolitan department
FR-02,Aisne,metropolitan department
FR-03,Allier,metropolitan department
FR-06,Alpy Nadmorskie,metropolitan department
FR-04,Alpy Górnej Prowansji,metropolitan department
FR-A,Alzacja,metropolitan regions
FR-B,Akwitania,metropolitan regions
FR-08,Ardeny,metropolitan department
FR-07,Ardèche,metropolitan department
FR-09,Ariège,metropolitan department
FR-10,Aube,metropolitan department
FR-11,Aude,metropolitan department
FR-12,Aveyron,metropolitan department
FR-67,Dolny Ren,metropolitan department
FR-13,Delta Rodanu,metropolitan department
FR-14,Calvados,metropolitan department
FR-15,Cantal,metropolitan department
FR-G,Szampania-Ardeny,metropolitan regions
FR-16,Charente,metropolitan department
FR-17,Charente-Maritime,metropolitan department
FR-18,Cher,metropolitan department
FR-CP,Wyspa Clippertona,dependency
FR-19,Corrèze,metropolitan department
FR-2A,Korsyka Południowa,metropolitan department
FR-H,Korsyka,metropolitan regions
FR-23,Creuse,metropolitan department
FR-79,Deux-Sèvres,metropolitan department
FR-24,Dordogne,metropolitan department
FR-25,Doubs,metropolitan department
FR-26,Drôme,metropolitan department
FR-91,Essonne,metropolitan department
FR-27,Eure,metropolitan department
FR-28,Eure-et-Loir,metropolitan department
FR-29,Finistère,metropolitan department
FR-I,Franche-Comté,metropolitan regions
FR-30,Gard,metropolitan department
FR-32,Gers,metropolitan department
FR-33,Żyronda,metropolitan department
FR-GP,Gwadelupa,overseas regions
FR-68,Górny Ren,metropolitan department
FR-2B,Górna Korsyka,metropolitan department
FR-31,Górna Garonna,metropolitan department
FR-P,Dolna Normandia,metropolitan regions
FR-GF,Gujana Francuska,overseas regions
FR-43,Górna Loara,metropolitan department
FR-52,Górna Marna,metropolitan department
FR-74,Górna Sabaudia,metropolitan department
FR-70,Górna Saona,metropolitan department
FR-87,Haute-Vienne,metropolitan department
FR-05,Alpy Wysokie,metropolitan department
FR-65,Pireneje Wysokie,metropolitan department
FR-92,Hauts-de-Seine,metropolitan department
FR-34,Hérault,metropolitan department
FR-35,Ille-et-Vilaine,metropolitan department
FR-36,Indre,metropolitan department
FR-37,Indre-et-Loire,metropolitan department
FR-38,Isère,metropolitan department
FR-39,Jura,metropolitan department
FR-40,Landes,metropolitan department
FR-K,Langwedocja-Roussillon,metropolitan regions
FR-41,Loir-et-Cher,metropolitan department
FR-42,Loara,metropolitan department
FR-44,Loara Atlantycka,metropolitan department
FR-45,Loiret,metropolitan department
FR-M,Lorraine,metropolitan regions
FR-46,Lot,metropolitan department
FR-47,Lot-et-Garonne,metropolitan department
FR-48,Lozère,metropolitan department
FR-49,Maine-et-Loire,metropolitan department
FR-50,Manche,metropolitan department
FR-51,Marna,metropolitan department
FR-MQ,Martynika,overseas regions
FR-53,Mayenne,metropolitan department
FR-YT,Majotta,territorial collectivity
FR-54,Meurthe-et-Moselle,metropolitan department
FR-55,Moza,metropolitan department
FR-N,Midi-Pyrénées,metropolitan regions
FR-56,Morbihan,metropolitan department
FR-57,Mozela,metropolitan department
FR-58,Nièvre,metropolitan department
FR-59,Nord,metropolitan department
FR-O,Nord-Pas-de-Calais,metropolitan regions
FR-60,Oise,metropolitan department
FR-61,Orne,metropolitan department
FR-75,Paryż,metropolitan department
FR-62,Pas-de-Calais,metropolitan department
FR-R,Kraj Loary,metropolitan regions
FR-S,Pikardia,metropolitan regions
FR-T,Poitou-Charentes,metropolitan regions
FR-Q,Górna Normandia,metropolitan regions
FR-PF,Polinezja Francuska,overseas territory
FR-NC,Nowa Kaledonia,overseas territory
FR-RE,Reunion,overseas regions
FR-U,Prowansja-Alpy-Lazurowe Wybrzeże,metropolitan regions
FR-63,Puy-de-Dôme,metropolitan department
FR-64,Pireneje Atlantyckie,metropolitan department
FR-66,Pireneje Wschodnie,metropolitan department
FR-69,Rodan,metropolitan department
FR-V,Rodan-Alpy,metropolitan regions
FR-72,Sarthe,metropolitan department
FR-73,Sabaudia,metropolitan department
FR-71,Saona i Loara,metropolitan department
FR-76,Seine-Maritime,metropolitan department
FR-93,Seine-Saint-Denis,metropolitan department
FR-77,Sekwana i Marna,metropolitan department
FR-80,Somma,metropolitan department
FR-81,Tarn,metropolitan department
FR-82,Tarn i Garonna,metropolitan department
FR-90,Territoire-de-Belfort,metropolitan department
FR-94,Dolina Marny,metropolitan department
FR-83,VAR,metropolitan department
FR-84,Vaucluse,metropolitan department
FR-85,Wandea,metropolitan department
FR-86,Vienne,metropolitan department
FR-88,Wogezy,metropolitan department
FR-89,Yonne,metropolitan department
FR-78,Yvelines,metropolitan department
FR-MF,Saint-Martin,overseas territorial collectivity
FR-BL,Saint-Barthélemy,overseas territorial collectivity
FR-PM,Saint-Pierre i Miquelon,territorial collectivity
FR-WF,Wallis i Futuna,overseas territory
