id,name,level
IN-AN,Andamany i Nikobary,union territory
IN-AP,Andhra Pradesh,state
IN-AR,Arunachal Pradesh,state
IN-AS,Asam,state
IN-BR,Bihar,state
IN-CH,Czandigarh,union territory
IN-CT,Chhattisgarh,state
IN-DN,Dadra i Nagarhaweli,union territory
IN-DD,Daman i Diu,union territory
IN-DL,Delhi,union territory
IN-GA,Goa,state
IN-GJ,Gudźarat,state
IN-HR,Hariana,state
IN-HP,Himachal Pradesh,state
IN-JK,Dżammu i Kaszmir,state
IN-JH,Jharkhand,state
IN-KA,Karnataka,state
IN-KL,Kerala,state
IN-LD,Lakszadiwy,union territory
IN-MP,Madhya Pradesh,state
IN-MH,Maharasztra,state
IN-MN,Manipur,state
IN-ML,Meghalaya,state
IN-MZ,Mizoram,state
IN-NL,Nagaland,state
IN-OR,Orisa,state
IN-PY,Puducherry,union territory
IN-RJ,Radżastan,state
IN-SK,Sikkim,state
IN-TN,Tamil Nadu,state
IN-TR,Tripura,state
IN-UP,Uttar Pradesh,state
IN-UT,Uttarakhand,state
IN-WB,Bengal Zachodni,state
