id,name,level
NL-AW,Aruba,country
NL-BQ1,Bonaire,special municipality
NL-CW,Curaçao,country
NL-DR,Drenthe,province
NL-FL,Flevoland,province
NL-FR,Fryzja,province
NL-GE,Geldria,province
NL-GR,Groningen,province
NL-LI,Limburg,province
NL-NB,Brabancja Północna,province
NL-NH,Holandia Północna,province
NL-OV,Overijssel,province
NL-BQ2,Saba,special municipality
NL-BQ3,Sint Eustatius,special municipality
NL-SX,Sint Maarten,country
NL-ZH,Holandia Południowa,province
NL-UT,Utrecht,province
NL-ZE,Zelandia,province
