id,name,level
RO-AB,Alba,county
RO-AR,Arad,county
RO-BC,Bacău,county
RO-BN,Okręg Bistriţa-Năsăud,county
RO-BT,Botoszany,county
RO-BV,Braszów,county
RO-BR,Braiła,county
RO-B,Bukareszt,city
RO-BZ,Buzău,county
RO-CS,Okręg Caraş-Severin,county
RO-CJ,Kluż-Napoka,county
RO-CT,Konstanca,county
RO-CV,Covasna,county
RO-CL,Călăraşi,county
RO-DJ,Okręg Dolj,county
RO-DB,Dâmboviţa,county
RO-GL,Gałacz,county
RO-GR,Giurgiu,county
RO-GJ,Okręg Gorj,county
RO-HR,Okręg Harghita,county
RO-HD,Hunedoara,county
RO-IS,Jassy,county
RO-IF,Okręg Ilfov,county
RO-MM,Marmarosz,county
RO-MH,Okręg Mehedinţi,county
RO-MS,Okręg Marusza,county
RO-NT,Okręg Neamţ,county
RO-PH,Prahova,county
RO-SM,Satu Mare,county
RO-SB,Sybin,county
RO-SV,Suczawa,county
RO-TR,Okręg Teleorman,county
RO-TL,Tulcza,county
RO-VS,Vaslui,county
RO-VL,Okręg Vâlcea,county
