id,name,level
RS-00,Belgrad,city
RS-14,Okręg borski,district
RS-11,Okręg braniczewski,district
RS-02,Okręg środkowobanacki,district
RS-23,Okręg jablanicki,district
RS-09,Okręg kolubarski,district
RS-29,Okręg Kosovo-Pomoravlje,district
RS-25,Okręg Kosowo,district
RS-08,Okręg maczwański,district
RS-17,Okręg morawicki,district
RS-20,Okręg niszawski,district
RS-03,Okręg północnobanacki,district
RS-01,Okręg północnobacki,district
RS-22,Okręg pirocki,district
RS-10,Okręg podunajski,district
RS-13,Okręg pomorawski,district
RS-24,Okręg pczyński,district
RS-19,Okręg rasiński,district
RS-04,Okręg południowobanacki,district
RS-07,Okręg sremski,district
RS-16,Okręg zlatiborski,district
RS-12,Okręg szumadijski,district
RS-28,Mitrovica,district
RS-26,Peć,district
RS-27,Prizren,district
