id,name,level
UA-71,Obwód czerkaski,region
UA-74,Obwód czernihowski,region
UA-77,Obwód czerniowiecki,region
UA-43,Krym,autonomous republic
UA-12,Obwód dniepropetrowski,region
UA-14,Obwód doniecki,region
UA-26,Obwód iwanofrankiwski,region
UA-63,Obwód charkowski,region
UA-65,Obwód chersoński,region
UA-68,Obwód chmielnicki,region
UA-30,Kijów,region
UA-32,Obwód kijowski,region
UA-35,Obwód kirowohradzki,region
UA-09,Obwód ługański,region
UA-46,Obwód lwowski,region
UA-48,Obwód mikołajowski,region
UA-51,Obwód odeski,region
UA-53,Obwód połtawski,region
UA-56,Obwód rówieński,region
UA-40,Sewastopol,region
UA-59,Obwód sumski,region
UA-61,Obwód tarnopolski,region
UA-05,Obwód winnicki,region
UA-07,Obwód wołyński,region
UA-21,Obwód zakarpacki,region
UA-23,Obwód zaporoski,region
UA-18,Obwód żytomierski,region
