id,name,level
CH-AG,Argóvia,canton
CH-AR,Appenzell Exterior,canton
CH-AI,Appenzell Interior,canton
CH-BL,Basileia-Campo,canton
CH-BS,Basileia-Cidade,canton
CH-BE,Berna,canton
CH-FR,Friburgo,canton
CH-GL,Glarona,canton
CH-GR,Grisões,canton
CH-JU,Jura,canton
CH-NE,Neuchâtel,canton
CH-NW,Nidwald,canton
CH-OW,Obwald,canton
CH-SH,Schaffhausen,canton
CH-SZ,Schwyz,canton
CH-SO,Soleura,canton
CH-TG,Turgóvia,canton
CH-TI,Ticino,canton
CH-UR,Uri,canton
CH-VS,Valais,canton
CH-VD,Vaud,canton
CH-ZG,Zug,canton
CH-GE,Genebra,canton
CH-LU,Lucerna,canton
CH-ZH,Zurique,canton
