id,name,level
ES-C,Corunha,province
ES-AB,Albacete,province
ES-A,Alicante,province
ES-AL,Almeria,province
ES-AN,Andaluzia,
ES-AS,Astúrias,autonomous community
ES-BA,Badajoz,province
ES-IB,Baleares,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-CA,Cádis,province
ES-S,Cantábria,province
ES-CS,Castellón,province
ES-CM,Castela-Mancha,autonomous community
ES-CL,Castela e Leão,autonomous community
ES-CT,Catalunha,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-CC,Cáceres,province
ES-CO,Córdoba,province
ES-EX,Estremadura,autonomous community
ES-GA,Galícia,autonomous community
ES-SS,Guipúscoa,province
ES-GI,Girona,province
ES-GR,Granada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-HU,Huesca,province
ES-GC,Las Palmas,province
ES-LE,León,province
ES-L,Lérida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Múrcia,autonomous community
ES-MA,Málaga,province
ES-NC,Navarra,autonomous community
ES-OR,Ourense,province
ES-P,Palência,province
ES-PO,Pontevedra,province
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segóvia,province
ES-SE,Sevilha,province
ES-SO,Sória,province
ES-T,Tarragona,province
ES-TE,Teruel,province
ES-TO,Toledo,province
ES-V,Valência,province
ES-VC,Comunidade Valenciana,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Saragoça,province
ES-VI,Álava,province
ES-AV,Ávila,province
