id,name,level
FR-01,Ain,metropolitan department
FR-02,Aisne,metropolitan department
FR-03,Allier,metropolitan department
FR-06,Alpes Marítimos,metropolitan department
FR-04,Alpes da Alta Provença,metropolitan department
FR-A,Alsácia,metropolitan regions
FR-B,Aquitânia,metropolitan regions
FR-08,Ardenas,metropolitan department
FR-07,Ardèche,metropolitan department
FR-09,Ariège,metropolitan department
FR-10,Aube,metropolitan department
FR-11,Aude,metropolitan department
FR-12,Aveyron,metropolitan department
FR-67,Baixo Reno,metropolitan department
FR-13,Bocas do Ródano,metropolitan department
FR-D,Burgúndia,metropolitan regions
FR-14,Calvados,metropolitan department
FR-15,Cantal,metropolitan department
FR-F,Center,metropolitan regions
FR-G,Champanha-Ardenas,metropolitan regions
FR-16,Charente,metropolitan department
FR-17,Charente-Maritime,metropolitan department
FR-18,Cher,metropolitan department
FR-CP,Ilha de Clipperton,dependency
FR-19,Corrèze,metropolitan department
FR-2A,Córsega do Sul,metropolitan department
FR-H,Córsega,metropolitan regions
FR-23,Creuse,metropolitan department
FR-79,Deux-Sèvres,metropolitan department
FR-24,Dordonha,metropolitan department
FR-25,Doubs,metropolitan department
FR-26,Drôme,metropolitan department
FR-91,Essonne,metropolitan department
FR-27,Eure,metropolitan department
FR-28,Eure-et-Loir,metropolitan department
FR-29,Finistère,metropolitan department
FR-I,Franco-Condado,metropolitan regions
FR-30,Gard,metropolitan department
FR-32,Gers,metropolitan department
FR-33,Gironda,metropolitan department
FR-GP,Guadalupe,overseas regions
FR-68,Alto Reno,metropolitan department
FR-2B,Alta Córsega,metropolitan department
FR-31,Alta Garona,metropolitan department
FR-P,Baixa Normandia,metropolitan regions
FR-GF,Guiana Francesa,overseas regions
FR-43,Haute-Loire,metropolitan department
FR-52,Haute-Marne,metropolitan department
FR-74,Alta Saboia,metropolitan department
FR-70,Haute-Saône,metropolitan department
FR-87,Haute-Vienne,metropolitan department
FR-05,Altos Alpes,metropolitan department
FR-65,Altos Pirineus,metropolitan department
FR-92,Altos do Sena,metropolitan department
FR-34,Hérault,metropolitan department
FR-35,Ille-et-Vilaine,metropolitan department
FR-36,Indre,metropolitan department
FR-37,Indre-et-Loire,metropolitan department
FR-38,Isère,metropolitan department
FR-39,Jura,metropolitan department
FR-K,Languedoque-Rossilhão,metropolitan regions
FR-41,Loir-et-Cher,metropolitan department
FR-42,Loire,metropolitan department
FR-44,Loire-Atlantique,metropolitan department
FR-45,Loiret,metropolitan department
FR-M,Lorraine,metropolitan regions
FR-46,Lot,metropolitan department
FR-47,Lot e Garona,metropolitan department
FR-48,Lozère,metropolitan department
FR-49,Maine-et-Loire,metropolitan department
FR-50,Mancha,metropolitan department
FR-51,Marne,metropolitan department
FR-MQ,Martinica,overseas regions
FR-53,Mayenne,metropolitan department
FR-YT,Mayotte,territorial collectivity
FR-54,Meurthe-et-Moselle,metropolitan department
FR-55,Meuse,metropolitan department
FR-N,Midi-Pirinéus,metropolitan regions
FR-56,Morbihan,metropolitan department
FR-57,Mosela,metropolitan department
FR-58,Nièvre,metropolitan department
FR-59,Nord,metropolitan department
FR-O,Nord-Pas-de-Calais,metropolitan regions
FR-60,Oise,metropolitan department
FR-61,Orne,metropolitan department
FR-75,Paris,metropolitan department
FR-62,Pas-de-Calais,metropolitan department
FR-R,País do Loire,metropolitan regions
FR-S,Picardia,metropolitan regions
FR-T,Poitou-Charentes,metropolitan regions
FR-Q,Alta Normandia,metropolitan regions
FR-PF,Polinésia Francesa,overseas territory
FR-NC,Nova Caledónia,overseas territory
FR-RE,Reunião,overseas regions
FR-U,Provença-Alpes-Costa Azul,metropolitan regions
FR-63,Puy-de-Dôme,metropolitan department
FR-64,Pirineus Atlânticos,metropolitan department
FR-66,Pirineus Orientais,metropolitan department
FR-69,Rio Ródano,metropolitan department
FR-V,Ródano-Alpes,metropolitan regions
FR-72,Sarthe,metropolitan department
FR-73,Saboia,metropolitan department
FR-71,Saône-et-Loire,metropolitan department
FR-76,Sena Marítimo,metropolitan department
FR-93,Seine-Saint-Denis,metropolitan department
FR-77,Sena e Marne,metropolitan department
FR-80,Somme,metropolitan department
FR-82,Tarn-et-Garonne,metropolitan department
FR-90,Território de Belfort,metropolitan department
FR-94,Val-de-Marne,metropolitan department
FR-83,VAR,metropolitan department
FR-84,Vaucluse,metropolitan department
FR-85,Vendeia,metropolitan department
FR-86,Vienne,metropolitan department
FR-88,Vosges,metropolitan department
FR-89,Yonne,metropolitan department
FR-78,Yvelines,metropolitan department
FR-MF,São Martinho,overseas territorial collectivity
FR-BL,São Bartolomeu,overseas territorial collectivity
FR-PM,Saint-Pierre e Miquelon,territorial collectivity
FR-WF,Wallis e Futuna,overseas territory
