id,name,level
GB-ARD,Ard,district council area (northern ireland)
GB-ABE,Aberdeen,council area (scotland)
GB-ABD,Aberdeenshire,council area (scotland)
GB-ANS,Angus,council area (scotland)
GB-ANT,Antrim,district council area (northern ireland)
GB-AGB,Argyll and Bute,council area (scotland)
GB-ARM,Armagh,district council area (northern ireland)
GB-BLA,Ballymena,district council area (northern ireland)
GB-BNS,Barnsley,metropolitan district
GB-BDF,Bedfordshire,unitary authority
GB-BFS,Belfast,district council area (northern ireland)
GB-BEX,Bexley,borough
GB-BIR,Birmingham,metropolitan district
GB-BPL,Blackpool,unitary authority
GB-BGW,Blaenau Gwent,unitary authority (wales)
GB-BOL,Bolton,metropolitan district
GB-BMH,Bournemouth,unitary authority
GB-BRC,Bracknell Forest,unitary authority
GB-BRD,Bradford,metropolitan district
GB-BNH,Brighton e Hove,unitary authority
GB-BST,Bristol,unitary authority
GB-BKM,Buckinghamshire,two-tier county
GB-BUR,Bury,metropolitan district
GB-CAY,Caerphilly,unitary authority (wales)
GB-CAM,Cambridgeshire,two-tier county
GB-CMD,Camden,borough
GB-CRF,Cardiff,unitary authority (wales)
GB-CHS,Cheshire,
GB-CLK,Clackmannanshire,council area (scotland)
GB-CON,Cornualha,unitary authority
GB-COV,Coventry,metropolitan district
GB-FER,Condado de Fermanagh,district council area (northern ireland)
GB-CMA,Cúmbria,two-tier county
GB-DAL,Darlington,unitary authority
GB-DER,Derby,unitary authority
GB-DBY,Derbyshire,two-tier county
GB-DRY,Derry,district council area (northern ireland)
GB-DEV,Devon,two-tier county
GB-DOR,Dorset,two-tier county
GB-DOW,Down,district council area (northern ireland)
GB-DUD,Dudley,metropolitan district
GB-DGY,Dumfries and Galloway,council area (scotland)
GB-DND,Dundee,council area (scotland)
GB-DUR,Durham,unitary authority
GB-EAL,Ealing,borough
GB-EAY,East Ayrshire,council area (scotland)
GB-EDU,East Dunbartonshire,council area (scotland)
GB-ELN,East Lothian,council area (scotland)
GB-ERW,East Renfrewshire,council area (scotland)
GB-ERY,East Riding of Yorkshire,unitary authority
GB-ESX,East Sussex,two-tier county
GB-EDH,Edimburgo,council area (scotland)
GB-ENF,Enfield,borough
GB-ESS,Essex,two-tier county
GB-FAL,Falkirk,council area (scotland)
GB-FIF,Fife,council area (scotland)
GB-GAT,Gateshead,metropolitan district
GB-GLG,Glasgow,council area (scotland)
GB-GLS,Gloucestershire,two-tier county
GB-GRE,Greenwich,borough
GB-GWN,Gwynedd,unitary authority (wales)
GB-HCK,Hackney,borough
GB-HAM,Hampshire,two-tier county
GB-HRW,Harrow,borough
GB-HPL,Hartlepool,unitary authority
GB-HEF,Herefordshire,unitary authority
GB-HRT,Hertfordshire,two-tier county
GB-HNS,Hounslow,borough
GB-IVC,Inverclyde,council area (scotland)
GB-HMF,Hammersmith e Fulham,borough
GB-ELS,Hébridas Exteriores,council area (scotland)
GB-AGY,Anglesey,unitary authority (wales)
GB-LND,Cidade de Londres,city corporation
GB-IOW,Ilha de Wight,unitary authority
GB-IOS,Ilhas Scilly,
GB-KEN,Kent,two-tier county
GB-KHL,Kingston upon Hull,unitary authority
GB-LBH,Lambeth,borough
GB-LAN,Lancashire,two-tier county
GB-LDS,Leeds,metropolitan district
GB-LCE,Leicester,unitary authority
GB-LEC,Leicestershire,two-tier county
GB-LMV,Limavady,district council area (northern ireland)
GB-LIN,Lincolnshire,two-tier county
GB-LSB,Lisburn,district council area (northern ireland)
GB-LIV,Liverpool,metropolitan district
GB-LUT,Luton,unitary authority
GB-MAN,Manchester,metropolitan district
GB-MTY,Merthyr Tydfil,unitary authority (wales)
GB-MDB,Middlesbrough,unitary authority
GB-MLN,Midlothian,council area (scotland)
GB-MIK,Milton Keynes,unitary authority
GB-MON,Monmouthshire,unitary authority (wales)
GB-MRY,Moray,council area (scotland)
GB-NTL,Neath Port Talbot,unitary authority (wales)
