id,name,level
IN-AN,Andamão e Nicobar,union territory
IN-AP,Andhra Pradesh,state
IN-AR,Arunachal Pradesh,state
IN-AS,Assam,state
IN-BR,Bihar,state
IN-CH,Chandigarh,union territory
IN-CT,Chhattisgarh,state
IN-DN,Dadrá e Nagar-Aveli,union territory
IN-DD,Damão e Diu,union territory
IN-DL,Deli,union territory
IN-GA,Goa,state
IN-GJ,Guzerate,state
IN-HR,Haryana,state
IN-HP,Himachal Pradesh,state
IN-JK,Jammu e Caxemira,state
IN-JH,Jharkhand,state
IN-KA,Karnataka,state
IN-KL,Kerala,state
IN-LD,Laquedivas,union territory
IN-MP,Madhya Pradesh,state
IN-MH,Maharashtra,state
IN-MN,Manipur,state
IN-ML,Meghalaya,state
IN-MZ,Mizoram,state
IN-NL,Nagaland,state
IN-OR,Orissa,state
IN-PY,Puducherry,union territory
IN-RJ,Rajastão,state
IN-SK,Siquim,state
IN-TN,Tamil Nadu,state
IN-TR,Tripura,state
IN-UP,Uttar Pradesh,state
IN-UT,Uttarakhand,state
IN-WB,Bengala Ocidental,state
