id,name,level
MT-01,Attard,local council
MT-02,Balzan,local council
MT-03,Birgu,local council
MT-04,Birkirkara,local council
MT-05,Birżebbuġa,local council
MT-06,Cospicua,local council
MT-07,Dingli,local council
MT-08,Fgura,local council
MT-09,Floriana,local council
MT-10,Fontana,local council
MT-11,Gudja,local council
MT-13,Għajnsielem,local council
MT-14,Għarb,local council
MT-15,Għargħur,local council
MT-16,Għasri,local council
MT-17,Għaxaq,local council
MT-12,Gżira,local council
MT-19,Iklin,local council
MT-35,Mtarfa,local council
MT-21,Kalkara,local council
MT-22,Kerċem,local council
MT-23,Kirkop,local council
MT-24,Lija,local council
MT-25,Luqa,local council
MT-27,Marsaskala,local council
MT-28,Marsaxlokk,local council
MT-29,Mdina,local council
MT-30,Mellieħa,local council
MT-32,Mosta,local council
MT-33,Mqabba,local council
MT-34,Msida,local council
MT-36,Munxar,local council
MT-31,Mġarr,local council
MT-37,Nadur,local council
MT-38,Naxxar,local council
MT-39,Paola,local council
MT-40,Pembroke,local council
MT-41,Pietà,local council
MT-43,Qormi,local council
MT-44,Qrendi,local council
MT-47,Safi,local council
MT-49,San Ġwann,local council
MT-20,Senglea,local council
MT-18,Ħamrun,local council
MT-46,Rabat,local council
MT-45,Victoria,local council
MT-52,Sannat,local council
MT-54,Santa Venera,local council
MT-55,Siġġiewi,local council
MT-56,Sliema,local council
MT-57,Swieqi,local council
MT-59,Tarxien,local council
MT-60,Valeta,local council
MT-62,Xewkija,local council
MT-64,Żabbar,local council
MT-66,Żebbuġ,local council
