id,name,level
PL-WP,Voivodia da Grande Polônia,voivodship
PL-KP,Voivodia da Cujávia-Pomerânia,voivodship
PL-MA,Voivodia da Pequena Polónia,voivodship
PL-DS,Voivodia da Baixa Silésia,voivodship
PL-LU,Voivodia de Lublin,voivodship
PL-LB,Voivodia da Lubúsquia,voivodship
PL-MZ,Voivodia da Mazóvia,voivodship
PL-OP,Voivodia de Opole,voivodship
PL-PK,Voivodia da Subcarpácia,voivodship
PL-PD,Voivodia da Podláquia,voivodship
PL-PM,Voivodia da Pomerânia,voivodship
PL-SL,Voivodia da Silésia,voivodship
PL-WN,Voivodia da Vármia-Masúria,voivodship
PL-ZP,Voivodia da Pomerânia Ocidental,voivodship
PL-SK,Voivodia de Santa Cruz,voivodship
