id,name,level
RO-BC,Bacău,county
RO-BN,Bistrița-Năsăud,county
RO-BT,Botoşani,county
RO-BV,Brașov,county
RO-BR,Brăila,county
RO-B,Bucareste,city
RO-BZ,Buzău,county
RO-CS,Caraş-Severin,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constança,county
RO-CV,Covasna,county
RO-CL,Călăraşi,county
RO-DJ,Dolj,county
RO-GL,Galaţi,county
RO-GR,Giurgiu,county
RO-GJ,Gorj,county
RO-HR,Harghita,county
RO-HD,Hunedoara,county
RO-IS,Iaşi,county
RO-IF,Ilfov,county
RO-MM,Maramureş,county
RO-MH,Mehedinţi,county
RO-MS,Mureș,county
RO-NT,Neamţ,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-TR,Teleorman,county
RO-TL,Tulcea,county
RO-VS,Vaslui,county
RO-VL,Vâlcea,county
