id,name,level
UA-71,Oblast de Tcherkássi,region
UA-74,Oblast de Chernigov,region
UA-77,Oblast de Chernivtsi,region
UA-43,Crimeia,autonomous republic
UA-12,Oblast de Dnipropetrovsk,region
UA-14,Oblast de Donetsk,region
UA-26,Oblast de Ivano-Frankivsk,region
UA-63,Oblast de Kharkiv,region
UA-65,Oblast de Kherson,region
UA-68,Oblast de Khmelnitski,region
UA-30,Kiev,region
UA-32,Oblast de Kiev,region
UA-35,Oblast de Kirovogrado,region
UA-09,Oblast de Lugansk,region
UA-46,Oblast de Lviv,region
UA-48,Oblast de Mikolaiv,region
UA-51,Oblast de Odessa,region
UA-53,Oblast de Poltava,region
UA-56,Oblast de Rivne,region
UA-40,Sebastopol,region
UA-59,Oblast de Sumi,region
UA-61,Oblast de Ternopil,region
UA-05,Oblast de Vinnitsa,region
UA-07,Oblast de Volínia,region
UA-21,Oblast da Transcarpátia,region
UA-23,Oblast de Zaporíjia,region
UA-18,Oblast de Jitomir,region
