Corunha (ES-C)
Albacete (ES-AB)
Alicante (ES-A)
Almeria (ES-AL)
Andaluzia (ES-AN)
Astúrias (ES-AS)
Badajoz (ES-BA)
Baleares (ES-IB)
Barcelona (ES-B)
Burgos (ES-BU)
Cádis (ES-CA)
Cantábria (ES-S)
Castellón (ES-CS)
Castela-Mancha (ES-CM)
Castela e Leão (ES-CL)
Catalunha (ES-CT)
Ceuta (ES-CE)
Ciudad Real (ES-CR)
Cuenca (ES-CU)
Cáceres (ES-CC)
Córdoba (ES-CO)
Estremadura (ES-EX)
Galícia (ES-GA)
Guipúscoa (ES-SS)
Girona (ES-GI)
Granada (ES-GR)
Guadalajara (ES-GU)
Huelva (ES-H)
Huesca (ES-HU)
Las Palmas (ES-GC)
León (ES-LE)
Lérida (ES-L)
Lugo (ES-LU)
Madrid (ES-MD)
Melilla (ES-ML)
Múrcia (ES-MC)
Málaga (ES-MA)
Navarra (ES-NC)
Ourense (ES-OR)
Palência (ES-P)
Pontevedra (ES-PO)
Salamanca (ES-SA)
Santa Cruz de Tenerife (ES-TF)
Segóvia (ES-SG)
Sevilha (ES-SE)
Sória (ES-SO)
Tarragona (ES-T)
Teruel (ES-TE)
Toledo (ES-TO)
Valência (ES-V)
Comunidade Valenciana (ES-VC)
Valladolid (ES-VA)
Zamora (ES-ZA)
Saragoça (ES-Z)
Álava (ES-VI)
Ávila (ES-AV)
