Bacău (RO-BC)
Bistrița-Năsăud (RO-BN)
Botoşani (RO-BT)
Brașov (RO-BV)
Brăila (RO-BR)
Bucareste (RO-B)
Buzău (RO-BZ)
Caraş-Severin (RO-CS)
Cluj-Napoca (RO-CJ)
Constança (RO-CT)
Covasna (RO-CV)
Călăraşi (RO-CL)
Dolj (RO-DJ)
Galaţi (RO-GL)
Giurgiu (RO-GR)
Gorj (RO-GJ)
Harghita (RO-HR)
Hunedoara (RO-HD)
Iaşi (RO-IS)
Ilfov (RO-IF)
Maramureş (RO-MM)
Mehedinţi (RO-MH)
Mureș (RO-MS)
Neamţ (RO-NT)
Satu Mare (RO-SM)
Sibiu (RO-SB)
Suceava (RO-SV)
Teleorman (RO-TR)
Tulcea (RO-TL)
Vaslui (RO-VS)
Vâlcea (RO-VL)
