id,name,level
CH-AG,Cantonul Argovia,canton
CH-AR,Cantonul Appenzell Extern,canton
CH-AI,Cantonul Appenzell Intern,canton
CH-BL,Cantonul Basel-Provincie,canton
CH-BS,Cantonul Basel-Oraș,canton
CH-BE,Berna,canton
CH-FR,Fribourg,canton
CH-GR,Cantonul Grisunilor,canton
CH-JU,Jura,canton
CH-NE,Neuchâtel,canton
CH-NW,Cantonul Nidwald,canton
CH-OW,Cantonul Obwald,canton
CH-SH,Schaffhausen,canton
CH-SO,Solothurn,canton
CH-TG,Cantonul Turgovia,canton
CH-TI,Cantonul Ticino,canton
CH-VS,Cantonul Valais,canton
CH-VD,Cantonul Vaud,canton
CH-ZG,Zug,canton
CH-GE,Geneva,canton
CH-LU,Lucerna,canton
CH-ZH,Zürich,canton
