id,name,level
ES-C,A Coruña,province
ES-AB,Albacete,province
ES-A,Alicante,province
ES-AL,Almería,province
ES-AN,Andaluzia,
ES-AS,Asturia,autonomous community
ES-BA,Badajoz,province
ES-IB,Insulele Baleare,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-CA,Cádiz,province
ES-S,Cantabria,province
ES-CM,Castilia-La Mancha,autonomous community
ES-CL,Castilia și León,autonomous community
ES-CT,Catalonia,autonomous community
ES-CE,Ceuta,autonomous city
ES-CO,Córdoba,province
ES-EX,Extremadura,autonomous community
ES-SS,Provincia Guipúzcoa,province
ES-GI,Girona,province
ES-GR,Granada,province
ES-GU,Guadalajara,province
ES-H,Huelva,province
ES-HU,Huesca,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,León,province
ES-L,Lleida,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MC,Murcia,autonomous community
ES-MA,Málaga,province
ES-NC,Navarra,autonomous community
ES-OR,Ourense,province
ES-PO,Pontevedra,province
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segovia,province
ES-SE,Sevilia,province
ES-SO,Soria,province
ES-T,Tarragona,province
ES-TE,Teruel,province
ES-TO,Toledo,province
ES-V,Valencia,province
ES-VC,Comunitatea Valenciană,autonomous community
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Zaragoza,province
ES-VI,Provincia Álava,province
