id,name,level
PL-WP,Voievodatul Polonia Mare,voivodship
PL-KP,Voievodatul Cuiavia și Pomerania,voivodship
PL-MA,Voievodatul Polonia Mică,voivodship
PL-DS,Voievodatul Silezia Inferioară,voivodship
PL-LU,Voievodatul Lublin,voivodship
PL-LB,Voievodatul Lubusz,voivodship
PL-MZ,Voievodatul Mazovia,voivodship
PL-OP,Voievodatul Opole,voivodship
PL-PK,Voievodatul Subcarpatia,voivodship
PL-PD,Voievodatul Podlasia,voivodship
PL-PM,Voievodatul Pomerania,voivodship
PL-SL,Voievodatul Silezia,voivodship
PL-WN,Voievodatul Varmia și Mazuria,voivodship
PL-ZP,Voievodatul Pomerania Occidentală,voivodship
PL-SK,Voievodatul Sfintei Cruci,voivodship
