id,name,level
RO-AR,Arad,county
RO-BC,Bacău,county
RO-BH,Bihor,county
RO-BN,Județul Bistrița-Năsăud,county
RO-BT,Botoșani,county
RO-BV,Brașov,county
RO-BR,Brăila,county
RO-B,București,city
RO-BZ,Buzău,county
RO-CS,Județul Caraș-Severin,county
RO-CJ,Cluj-Napoca,county
RO-CT,Constanța,county
RO-CV,Covasna,county
RO-CL,Călărași,county
RO-DJ,Județul Dolj,county
RO-DB,Dâmbovița,county
RO-GL,Galați,county
RO-GR,Giurgiu,county
RO-GJ,Județul Gorj,county
RO-HR,Județul Harghita,county
RO-HD,Hunedoara,county
RO-IL,Ialomița,county
RO-IS,Iași,county
RO-IF,Județul Ilfov,county
RO-MM,Maramureș,county
RO-MH,Județul Mehedinți,county
RO-MS,Județul Mureș,county
RO-NT,Județul Neamț,county
RO-OT,Olt,county
RO-PH,Prahova,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-TR,Județul Teleorman,county
RO-TM,Timiș,county
RO-TL,Tulcea,county
RO-VS,Vaslui,county
RO-VL,Județul Vâlcea,county
