id,name,level
RS-00,Belgrad,city
RS-14,Districtul Bor,district
RS-11,Districtul Braničevo,district
RS-02,Districtul Banatul Central,district
RS-23,Districtul Jablanica,district
RS-09,Districtul Kolubara,district
RS-08,Districtul Mačva,district
RS-17,Districtul Moravica,district
RS-20,Districtul Nišava,district
RS-03,Districtul Banatul de Nord,district
RS-01,Districtul Bačka de Nord,district
RS-22,Districtul Pirot,district
RS-10,Districtul Podunavlje,district
RS-13,Districtul Pomoravlje,district
RS-24,Districtul Pčinja,district
RS-19,Districtul Rasina,district
RS-04,Districtul Banatul de Sud,district
RS-07,Districtul Srem,district
RS-16,Districtul Zlatibor,district
RS-12,Districtul Šumadija,district
RS-28,Districtul Kosovska Mitrovica,district
RS-26,Districtul Peć,district
RS-27,Districtul Prizren,district
