id,name,level
UA-71,Regiunea Cerkasî,region
UA-74,Regiunea Cernigău,region
UA-77,Regiunea Cernăuți,region
UA-43,Crimeea,autonomous republic
UA-12,Regiunea Dniepropetrovsk,region
UA-14,Regiunea Donețk,region
UA-26,Regiunea Ivano-Frankivsk,region
UA-63,Regiunea Harkov,region
UA-65,Regiunea Herson,region
UA-68,Regiunea Hmelnițki,region
UA-30,Kiev,region
UA-32,Regiunea Kiev,region
UA-35,Regiunea Kirovohrad,region
UA-09,Regiunea Luhansk,region
UA-46,Regiunea Liov,region
UA-48,Regiunea Mîkolaiv,region
UA-51,Regiunea Odesa,region
UA-53,Regiunea Poltava,region
UA-56,Regiunea Rivne,region
UA-40,Sevastopol,region
UA-59,Regiunea Sumî,region
UA-61,Regiunea Tarnopol,region
UA-05,Regiunea Vinița,region
UA-07,Regiunea Volîn,region
UA-21,Regiunea Transcarpatia,region
UA-23,Regiunea Zaporoje,region
UA-18,Regiunea Jîtomîr,region
