id,name,level
ES-C,La Coruña,province
ES-A,Alicante,province
ES-AN,Andalúzia,
ES-AS,Astúria,autonomous community
ES-BA,Badajoz,province
ES-IB,Baleáry,autonomous community
ES-B,Barcelona,province
ES-BU,Burgos,province
ES-CA,Cádiz,province
ES-S,Kantábria,province
ES-CT,Katalánsko,autonomous community
ES-CE,Ceuta,autonomous city
ES-CR,Ciudad Real,province
ES-CU,Cuenca,province
ES-CO,Córdoba,province
ES-EX,Extremadura,autonomous community
ES-GA,Galícia,autonomous community
ES-GR,Granada,province
ES-GC,Las Palmas de Gran Canaria,province
ES-LE,León,province
ES-LU,Lugo,province
ES-MD,Madrid,autonomous community
ES-ML,Melilla,autonomous city
ES-MA,Málaga,province
ES-NC,Navarra,autonomous community
ES-SA,Salamanca,province
ES-TF,Santa Cruz de Tenerife,province
ES-SG,Segovia,province
ES-SE,Sevilla,province
ES-TO,Toledo,province
ES-V,Valencia,province
ES-VA,Valladolid,province
ES-ZA,Zamora,province
ES-Z,Zaragoza,province
