id,name,level
IN-AN,Andamany a Nikobary,union territory
IN-AP,Ándhrapradéš,state
IN-AR,Arunáčalpradéš,state
IN-AS,Ásam,state
IN-BR,Bihár,state
IN-CH,Čandígarh,union territory
IN-CT,Čatísgarh,state
IN-DN,Dádra a Nagar Havelí,union territory
IN-DD,Daman a Diú,union territory
IN-DL,Dillí,union territory
IN-GA,Goa,state
IN-GJ,Gudžarát,state
IN-HR,Harijána,state
IN-HP,Himáčalpradéš,state
IN-JK,Džammú a Kašmír,state
IN-JH,Džharkhand,state
IN-KA,Karnátaka,state
IN-KL,Kérala,state
IN-LD,Lakadivy,union territory
IN-MP,Madhjapradéš,state
IN-MH,Maháraštra,state
IN-MN,Manípur,state
IN-ML,Meghálaj,state
IN-MZ,Mizorám,state
IN-NL,Nágsko,state
IN-OR,Urísa,state
IN-PY,Puttučéri,union territory
IN-PB,Pandžáb,state
IN-RJ,Radžastan,state
IN-SK,Sikkim,state
IN-TN,Tamilnádu,state
IN-TR,Tripura,state
IN-UP,Uttarpradéš,state
IN-UT,Uttarákhand,state
IN-WB,Západné Bengálsko,state
