id,name,level
IT-65,Abruzzy,region
IT-AG,Agrigento,province
IT-AL,Alessandria,province
IT-AN,Ancona,province
IT-AR,Arezzo,province
IT-AP,Ascoli Piceno,province
IT-BA,Bari,province
IT-77,Basilicata,region
IT-BL,Belluno,province
IT-BN,Benevento,province
IT-BG,Bergamo,province
IT-BO,Bologna,province
IT-BZ,Bolzano,province
IT-BS,Brescia,province
IT-BR,Brindisi,province
IT-CA,Cagliari,province
IT-78,Kalábria,region
IT-72,Kampánia,region
IT-CT,Catania,province
IT-CZ,Catanzaro,province
IT-CO,Como,province
IT-CS,Cosenza,province
IT-CR,Cremona,province
IT-45,Emilia-Romagna,region
IT-FE,Ferrara,province
IT-FI,Florencia,province
IT-FG,Foggia,province
IT-FO,Forlì,
IT-36,Furlansko-Júlske Benátky,region
IT-FR,Frosinone,province
IT-GE,Janov,province
IT-GO,Gorizia,province
IT-GR,Grosseto,province
IT-75,Apúlia,region
IT-AQ,L’Aquila,province
IT-SP,La Spezia,province
IT-62,Lazio,region
IT-LE,Lecce,province
IT-LC,Lecco,province
IT-42,Ligúria,region
IT-LI,Livorno,province
IT-25,Lombardsko,region
IT-LU,Lucca,province
IT-MN,Mantova,province
IT-57,Marky,region
IT-MT,Matera,province
IT-ME,Messina,province
IT-MI,Miláno,province
IT-MO,Modena,province
IT-67,Molise,region
IT-NA,Neapol,province
IT-NO,Novara,province
IT-PD,Padova,province
IT-PA,Palermo,province
IT-PR,Parma,province
IT-PV,Pavia,province
IT-PG,Perugia,province
IT-PE,Pescara,province
IT-PC,Piacenza,province
IT-21,Piemont,region
IT-PI,Pisa,province
IT-PT,Pistoia,province
IT-PZ,Potenza,province
IT-PO,Prato,province
IT-RA,Ravenna,province
IT-RE,Reggio Emilia,province
IT-23,Valle d’Aosta,region
IT-RN,Rimini,province
IT-RM,Roma,province
IT-RO,Rovigo,province
IT-SA,Salerno,province
IT-88,Sardínia,region
IT-SS,Sassari,province
IT-82,Sicília,region
IT-SI,Siena,province
IT-TA,Tarent,province
IT-TR,Terni,province
IT-TP,Trapani,province
IT-32,Tridentsko-Horná Adiža,region
IT-TN,Trident,province
IT-TV,Treviso,province
IT-TS,Terst,province
IT-TO,Turín,province
IT-52,Toskánsko,region
IT-UD,Udine,province
IT-55,Umbria,region
IT-VA,Varese,province
IT-34,Benátsko,region
IT-VE,Benátky,province
IT-VR,Verona,province
IT-VI,Vicenza,province
