id,name,level
PL-WP,Veľkopoľské vojvodstvo,voivodship
PL-KP,Kujavsko-pomoranské vojvodstvo,voivodship
PL-MA,Malopoľské vojvodstvo,voivodship
PL-DS,Dolnosliezske vojvodstvo,voivodship
PL-LU,Lubelské vojvodstvo,voivodship
PL-LB,Lubuské vojvodstvo,voivodship
PL-MZ,Mazovské vojvodstvo,voivodship
PL-OP,Opolské vojvodstvo,voivodship
PL-PK,Podkarpatské vojvodstvo,voivodship
PL-PD,Podleské vojvodstvo,voivodship
PL-PM,Pomoranské vojvodstvo,voivodship
PL-SL,Sliezske vojvodstvo,voivodship
PL-WN,Varmsko-mazurské vojvodstvo,voivodship
PL-ZP,Západopomoranské vojvodstvo,voivodship
PL-SK,Svätokrížske vojvodstvo,voivodship
