id,name,level
RO-AR,Arad,county
RO-BN,Bistriţa-Năsăud,county
RO-BT,Botoşani,county
RO-BV,Brašov,county
RO-B,Bukurešť,city
RO-CS,Caraş-Severin,county
RO-CJ,Kluž,county
RO-CT,Constanţa,county
RO-DJ,Dolj,county
RO-DB,Dâmboviţa,county
RO-GL,Galaţi,county
RO-GJ,Gorj,county
RO-HR,Harghita,county
RO-HD,Hunedoara,county
RO-IS,Jasy,county
RO-IF,Ilfov,county
RO-MH,Mehedinţi,county
RO-MS,Mureş,county
RO-NT,Neamț,county
RO-PH,Prahova,county
RO-SM,Satu Mare,county
RO-SB,Sibiu,county
RO-SV,Suceava,county
RO-SJ,Sălaj,county
RO-TR,Teleorman,county
RO-TM,Timiş,county
RO-TL,Tulcea,county
RO-VN,Vrancea,county
RO-VL,Vâlcea,county
