id,name,level
UA-71,Čerkaská oblasť,region
UA-74,Černihivská oblasť,region
UA-77,Černovická oblasť,region
UA-43,Krym,autonomous republic
UA-12,Dnepropetrovská oblasť,region
UA-14,Donecká oblasť,region
UA-26,Ivanofrankivská oblasť,region
UA-63,Charkovská oblasť,region
UA-65,Chersonská oblasť,region
UA-68,Chmeľnycká oblasť,region
UA-30,Kyjev,region
UA-32,Kyjevská oblasť,region
UA-35,Kirovohradská oblasť,region
UA-09,Luhanská oblasť,region
UA-46,Ľvovská oblasť,region
UA-48,Mykolajivská oblasť,region
UA-51,Odeská oblasť,region
UA-53,Poltavská oblasť,region
UA-56,Rivnenská oblasť,region
UA-40,Sevastopoľ,region
UA-59,Sumská oblasť,region
UA-61,Ternopiľská oblasť,region
UA-05,Vinnycká oblasť,region
UA-07,Volyňská oblasť,region
UA-21,Zakarpatská oblasť,region
UA-23,Záporožská oblasť,region
UA-18,Žytomyrská oblasť,region
