La Coruña (ES-C)
Alicante (ES-A)
Andalúzia (ES-AN)
Astúria (ES-AS)
Badajoz (ES-BA)
Baleáry (ES-IB)
Barcelona (ES-B)
Burgos (ES-BU)
Cádiz (ES-CA)
Kantábria (ES-S)
Katalánsko (ES-CT)
Ceuta (ES-CE)
Ciudad Real (ES-CR)
Cuenca (ES-CU)
Córdoba (ES-CO)
Extremadura (ES-EX)
Galícia (ES-GA)
Granada (ES-GR)
Las Palmas de Gran Canaria (ES-GC)
León (ES-LE)
Lugo (ES-LU)
Madrid (ES-MD)
Melilla (ES-ML)
Málaga (ES-MA)
Navarra (ES-NC)
Salamanca (ES-SA)
Santa Cruz de Tenerife (ES-TF)
Segovia (ES-SG)
Sevilla (ES-SE)
Toledo (ES-TO)
Valencia (ES-V)
Valladolid (ES-VA)
Zamora (ES-ZA)
Zaragoza (ES-Z)
