Abruzzy (IT-65)
Agrigento (IT-AG)
Alessandria (IT-AL)
Ancona (IT-AN)
Arezzo (IT-AR)
Ascoli Piceno (IT-AP)
Bari (IT-BA)
Basilicata (IT-77)
Belluno (IT-BL)
Benevento (IT-BN)
Bergamo (IT-BG)
Bologna (IT-BO)
Bolzano (IT-BZ)
Brescia (IT-BS)
Brindisi (IT-BR)
Cagliari (IT-CA)
Kalábria (IT-78)
Kampánia (IT-72)
Catania (IT-CT)
Catanzaro (IT-CZ)
Como (IT-CO)
Cosenza (IT-CS)
Cremona (IT-CR)
Emilia-Romagna (IT-45)
Ferrara (IT-FE)
Florencia (IT-FI)
Foggia (IT-FG)
Forlì (IT-FO)
Furlansko-Júlske Benátky (IT-36)
Frosinone (IT-FR)
Janov (IT-GE)
Gorizia (IT-GO)
Grosseto (IT-GR)
Apúlia (IT-75)
L’Aquila (IT-AQ)
La Spezia (IT-SP)
Lazio (IT-62)
Lecce (IT-LE)
Lecco (IT-LC)
Ligúria (IT-42)
Livorno (IT-LI)
Lombardsko (IT-25)
Lucca (IT-LU)
Mantova (IT-MN)
Marky (IT-57)
Matera (IT-MT)
Messina (IT-ME)
Miláno (IT-MI)
Modena (IT-MO)
Molise (IT-67)
Neapol (IT-NA)
Novara (IT-NO)
Padova (IT-PD)
Palermo (IT-PA)
Parma (IT-PR)
Pavia (IT-PV)
Perugia (IT-PG)
Pescara (IT-PE)
Piacenza (IT-PC)
Piemont (IT-21)
Pisa (IT-PI)
Pistoia (IT-PT)
Potenza (IT-PZ)
Prato (IT-PO)
Ravenna (IT-RA)
Reggio Emilia (IT-RE)
Valle d’Aosta (IT-23)
Rimini (IT-RN)
Roma (IT-RM)
Rovigo (IT-RO)
Salerno (IT-SA)
Sardínia (IT-88)
Sassari (IT-SS)
Sicília (IT-82)
Siena (IT-SI)
Tarent (IT-TA)
Terni (IT-TR)
Trapani (IT-TP)
Tridentsko-Horná Adiža (IT-32)
Trident (IT-TN)
Treviso (IT-TV)
Terst (IT-TS)
Turín (IT-TO)
Toskánsko (IT-52)
Udine (IT-UD)
Umbria (IT-55)
Varese (IT-VA)
Benátsko (IT-34)
Benátky (IT-VE)
Verona (IT-VR)
Vicenza (IT-VI)
