country,id,name,level
AD,AD-07,Андора ла Веља,parish
AD,AD-03,Енкамп,parish
AD,AD-04,Ла Масана,parish
AD,AD-05,Ордино,parish
AD,AD-06,Сент Ђулија де Лорија,parish
AT,AT-1,Бургенланд,state
AT,AT-3,Доња Аустрија,state
AT,AT-5,Салцбург,state
AT,AT-6,Штајерска,state
AT,AT-7,Тирол,state
AT,AT-4,Горња Аустрија,state
AT,AT-9,Беч,state
AT,AT-8,Форарлберг,state
BY,BY-HM,Минск,city
BE,BE-VAN,Антверпен,province
BE,BE-BRU,Регион главног града Брисела,capital region
BE,BE-WLG,Лијеж,province
BE,BE-WLX,Луксембург,province
BE,BE-WAL,Валонија,region
BE,BE-WBR,Валонски Брабант,province
CA,CA-AB,Алберта,province
CA,CA-BC,Британска Колумбија,province
CA,CA-MB,Манитоба,province
CA,CA-NB,Њу Брансвик,province
CA,CA-NL,Њуфаундленд и Лабрадор,province
CA,CA-NT,Северозападне територије,territory
CA,CA-NS,Нова Шкотска,province
CA,CA-NU,Нунавут,territory
CA,CA-ON,Онтарио,province
CA,CA-PE,Острво принца Едварда,province
CA,CA-QC,Квебек,province
CA,CA-SK,Саскачеван,province
CA,CA-YT,Јукон,territory
CL,CL-AN,Антофагаста,region
CL,CL-AT,Атакама,region
CL,CL-VS,Валпараисо,region
DK,DK-070,Орхус,county
DK,DK-040,Борнхолм,county
DK,DK-84,Капитал,region
DK,DK-82,Средишња Данска,region
DK,DK-015,Копенхаген,county
DK,DK-042,Фин,county
DK,DK-83,Јужна Данска,region
DK,DK-025,Роскилде,county
DK,DK-060,Вејле,county
DK,DK-076,Виборг,county
DK,DK-85,Зеланд,region
EE,EE-37,Харју,county
EE,EE-44,Ида-Виру,county
EE,EE-51,Харва,county
EE,EE-49,Јигева,county
EE,EE-59,Љаене-Виру,county
EE,EE-57,Љаене,county
EE,EE-67,Пјарну,county
EE,EE-65,Пилва,county
EE,EE-70,Рапла,county
EE,EE-78,Тарту,county
EE,EE-82,Валга,county
EE,EE-84,Виљанди,county
EE,EE-86,Виру,county
FR,FR-01,Ен,metropolitan department
FR,FR-02,Ен,metropolitan department
FR,FR-03,Алије,metropolitan department
FR,FR-06,Приморски Алпи,metropolitan department
FR,FR-04,Горњопровансалски Алпи,metropolitan department
FR,FR-A,Алзас,metropolitan regions
FR,FR-B,Аквитанија,metropolitan regions
FR,FR-08,Ардени,metropolitan department
FR,FR-07,Ардеш,metropolitan department
FR,FR-09,Арјеж,metropolitan department
FR,FR-10,Об,metropolitan department
FR,FR-11,Од,metropolitan department
FR,FR-12,Аверон,metropolitan department
FR,FR-67,Доња Рајна,metropolitan department
FR,FR-13,Ушће Роне,metropolitan department
FR,FR-14,Калвадос,metropolitan department
FR,FR-15,Кантал,metropolitan department
FR,FR-F,Центар,metropolitan regions
FR,FR-G,Шампања-Ардени,metropolitan regions
FR,FR-16,Шарант,metropolitan department
FR,FR-17,Приморски Шарант,metropolitan department
FR,FR-18,Шер,metropolitan department
FR,FR-CP,Острво Клипертон,dependency
FR,FR-19,Корез,metropolitan department
FR,FR-2A,Јужна Корзика,metropolitan department
FR,FR-H,Корзика,metropolitan regions
FR,FR-23,Крез,metropolitan department
