id,name,level
CH-AG,Кантон Аргау,canton
CH-AR,Кантон Апенцел Аусероден,canton
CH-AI,Кантон Апенцел Инероден,canton
CH-BL,Кантон Базел-провинција,canton
CH-BS,Кантон Базел-град,canton
CH-BE,Берн,canton
CH-FR,Фрибур/Фрајбург,canton
CH-GL,Гларус,canton
CH-GR,Кантон Граубинден,canton
CH-JU,Јура,canton
CH-NE,Нешател,canton
CH-NW,Кантон Нидвалден,canton
CH-OW,Кантон Обвалден,canton
CH-SH,Шафхаузен,canton
CH-SZ,Швиц,canton
CH-SO,Золотурн,canton
CH-TG,Кантон Тургау,canton
CH-TI,Кантон Тичино,canton
CH-VS,Кантон Вале,canton
CH-VD,Кантон Во,canton
CH-ZG,Цуг,canton
CH-GE,Женева,canton
CH-LU,Луцерн,canton
CH-ZH,Цирих,canton
