id,name,level
ES-C,Коруња,province
ES-AB,Албасете,province
ES-A,Аликанте,province
ES-AL,Алмерија,province
ES-AN,Андалузија,
ES-AS,Кнежевина Астурија,autonomous community
ES-BA,Бадахоз,province
ES-IB,Балеарска острва,autonomous community
ES-B,Барселона,province
ES-BU,Бургос,province
ES-CA,Кадиз,province
ES-S,Кантабрија,province
ES-CS,Кастељон,province
ES-CM,Кастиља-Ла Манча,autonomous community
ES-CL,Кастиља и Леон,autonomous community
ES-CT,Каталонија,autonomous community
ES-CE,Сеута,autonomous city
ES-CR,Сијудад Реал,province
ES-CC,Касерес,province
ES-CO,Кордоба,province
ES-EX,Екстремадура,autonomous community
ES-GI,Ђирона,province
ES-GR,Гранада,province
ES-GU,Гвадалахара,province
ES-H,Уелва,province
ES-HU,Уеска,province
ES-J,Хаен,province
ES-GC,Лас Палмас де Гран Канарија,province
ES-LE,Леон,province
ES-L,Љеида,province
ES-LU,Луго,province
ES-MD,Мадрид,autonomous community
ES-ML,Мелиља,autonomous city
ES-MC,Мурсија,autonomous community
ES-MA,Малага,province
ES-NC,Навара,autonomous community
ES-OR,Оренсе,province
ES-P,Паленсија,province
ES-PO,Понтеведра,province
ES-SA,Саламанка,province
ES-TF,Санта Круз де Тенерифе,province
ES-SG,Сеговија,province
ES-SE,Севиља,province
ES-SO,Сорија,province
ES-T,Тарагона,province
ES-TE,Теруел,province
ES-V,Валенсија,province
ES-VC,Валенсијанска Покрајина,autonomous community
ES-VA,Ваљадолид,province
ES-ZA,Замора,province
ES-Z,Сарагоса,province
ES-VI,Провинција Алава,province
ES-AV,Авила,province
