id,name,level
FR-01,Ен,metropolitan department
FR-02,Ен,metropolitan department
FR-03,Алије,metropolitan department
FR-06,Приморски Алпи,metropolitan department
FR-04,Горњопровансалски Алпи,metropolitan department
FR-A,Алзас,metropolitan regions
FR-B,Аквитанија,metropolitan regions
FR-08,Ардени,metropolitan department
FR-07,Ардеш,metropolitan department
FR-09,Арјеж,metropolitan department
FR-10,Об,metropolitan department
FR-11,Од,metropolitan department
FR-12,Аверон,metropolitan department
FR-67,Доња Рајна,metropolitan department
FR-13,Ушће Роне,metropolitan department
FR-14,Калвадос,metropolitan department
FR-15,Кантал,metropolitan department
FR-F,Центар,metropolitan regions
FR-G,Шампања-Ардени,metropolitan regions
FR-16,Шарант,metropolitan department
FR-17,Приморски Шарант,metropolitan department
FR-18,Шер,metropolitan department
FR-CP,Острво Клипертон,dependency
FR-19,Корез,metropolitan department
FR-2A,Јужна Корзика,metropolitan department
FR-H,Корзика,metropolitan regions
FR-23,Крез,metropolitan department
FR-21,Златна обала,metropolitan department
FR-22,Обале Армора,metropolitan department
FR-79,Де Севр,metropolitan department
FR-24,Дордоња,metropolitan department
FR-25,Ду,metropolitan department
FR-26,Дром,metropolitan department
FR-91,Есон,metropolitan department
FR-27,Ер,metropolitan department
FR-28,Ер и Лоар,metropolitan department
FR-29,Финистер,metropolitan department
FR-I,Франш-Конте,metropolitan regions
FR-30,Гар,metropolitan department
FR-32,Жерс,metropolitan department
FR-33,Жиронда,metropolitan department
FR-GP,Гваделуп,overseas regions
FR-68,Горња Рајна,metropolitan department
FR-2B,Горња Корзика,metropolitan department
FR-31,Горња Гарона,metropolitan department
FR-P,Доња Нормандија,metropolitan regions
FR-GF,Француска Гвајана,overseas regions
FR-43,Горња Лоара,metropolitan department
FR-52,Горња Марна,metropolitan department
FR-74,Горња Савоја,metropolitan department
FR-70,Горња Саона,metropolitan department
FR-87,Горњи Вијен,metropolitan department
FR-05,Горњи Алпи,metropolitan department
FR-65,Високи Пиринеји,metropolitan department
FR-92,Сенски висови,metropolitan department
FR-34,Еро,metropolitan department
FR-35,Ил и Вилен,metropolitan department
FR-36,Ендр,metropolitan department
FR-37,Ендр и Лоара,metropolitan department
FR-38,Изер,metropolitan department
FR-39,Јура,metropolitan department
FR-K,Лангдок-Русијон,metropolitan regions
FR-41,Лоар и Шер,metropolitan department
FR-42,Лоара,metropolitan department
FR-44,Атлантска Лоара,metropolitan department
FR-45,Лоаре,metropolitan department
FR-46,Лот,metropolitan department
FR-47,Лот и Гарона,metropolitan department
FR-48,Лозер,metropolitan department
FR-49,Мен и Лоара,metropolitan department
FR-50,Манш,metropolitan department
FR-51,Марна,metropolitan department
FR-MQ,Мартиник,overseas regions
FR-53,Мајен,metropolitan department
FR-YT,Мајот,territorial collectivity
FR-54,Мерт и Мозел,metropolitan department
FR-55,Меза,metropolitan department
FR-N,Миди Пирене,metropolitan regions
FR-56,Морбијан,metropolitan department
FR-57,Мозел,metropolitan department
FR-58,Нијевр,metropolitan department
FR-O,Нор Па де Кале,metropolitan regions
FR-60,Оаза,metropolitan department
FR-61,Орн,metropolitan department
FR-75,Париз,metropolitan department
FR-62,Па де Кале,metropolitan department
FR-R,Регион Лоара,metropolitan regions
FR-S,Пикардија,metropolitan regions
FR-T,Поату-Шарант,metropolitan regions
FR-Q,Горња Нормандија,metropolitan regions
FR-PF,Француска Полинезија,overseas territory
FR-NC,Нова Каледонија,overseas territory
FR-RE,Реинион,overseas regions
FR-U,Прованса-Алпи-Азурна обала,metropolitan regions
FR-63,Пиј де Дом,metropolitan department
FR-64,Атлантски Пиринеји,metropolitan department
FR-66,Источни Пиринеји,metropolitan department
FR-69,Рона,metropolitan department
FR-V,Рона-Алпи,metropolitan regions
FR-72,Сарт,metropolitan department
FR-73,Савоја,metropolitan department
FR-71,Саона и Лоара,metropolitan department
FR-76,Приморска Сена,metropolitan department
FR-93,Сена-Сен Дени,metropolitan department
FR-77,Сена и Марна,metropolitan department
FR-80,Сома,metropolitan department
FR-82,Тарн и Гарона,metropolitan department
FR-90,Територија Белфор,metropolitan department
FR-95,Долина Оазе,metropolitan department
FR-94,Долина Марне,metropolitan department
FR-84,Воклиз,metropolitan department
FR-85,Вандеја,metropolitan department
FR-86,Вијен,metropolitan department
FR-88,Вогези,metropolitan department
FR-89,Јон,metropolitan department
FR-78,Ивлин,metropolitan department
FR-BL,Острво Свети Бартоломеј,overseas territorial collectivity
FR-PM,Свети Пјер и Микелон,territorial collectivity
FR-WF,Валис и Футуна,overseas territory
