id,name,level
GB-ABE,Абердин,council area (scotland)
GB-BDF,Бедфордшир,unitary authority
GB-BFS,Белфаст,district council area (northern ireland)
GB-BIR,Бирмингем,metropolitan district
GB-BOL,Болтон,metropolitan district
GB-BMH,Борнмут,unitary authority
GB-BRD,Бредфорд,metropolitan district
GB-BST,Бристол,unitary authority
GB-CAM,Кембриџшир,two-tier county
GB-CRF,Кардиф,unitary authority (wales)
GB-CHS,Чешир,
GB-CON,Корнвол,unitary authority
GB-COV,Ковентри,metropolitan district
GB-BDG,Лондонска општина Баркинг и Дагенам,borough
GB-FER,Фермана,district council area (northern ireland)
GB-CMA,Камбрија,two-tier county
GB-DER,Дарби,unitary authority
GB-DBY,Дарбишир,two-tier county
GB-DEV,Девон,two-tier county
GB-DNC,Донкастер,metropolitan district
GB-DND,Данди,council area (scotland)
GB-DUR,Дарам,unitary authority
GB-EDH,Единбург,council area (scotland)
GB-ESS,Есекс,two-tier county
GB-GLG,Глазгов,council area (scotland)
GB-GRE,Гринич,borough
GB-LND,Сити,city corporation
GB-IOS,Сили,
GB-KEN,Кент,two-tier county
GB-KHL,Кингстон на Халу,unitary authority
GB-LDS,Лидс,metropolitan district
GB-LCE,Лестер,unitary authority
GB-LIN,Линколншир,two-tier county
GB-LIV,Ливерпул,metropolitan district
GB-MAN,Манчестер,metropolitan district
GB-MDB,Мидлсбро,unitary authority
GB-NET,Њукасл на Тајну,metropolitan district
GB-NWP,Њупорт,unitary authority (wales)
GB-NYK,Северни Јоркшир,two-tier county
GB-RIC,Лондонска општина Ричмонд на Темзи,borough
GB-NGM,Нотингем,unitary authority
GB-NTT,Нотингамшир,two-tier county
GB-ORK,Оркнијска острва,council area (scotland)
GB-OXF,Оксфордшир,two-tier county
GB-PTE,Питерборо,unitary authority
GB-PLY,Плимут,unitary authority
GB-RUT,Ратланд,unitary authority
GB-SHF,Шефилд,metropolitan district
GB-ZET,Шетландска острва,council area (scotland)
GB-SHR,Шропшир,unitary authority
GB-SOM,Самерсет,two-tier county
GB-STH,Саутемптон,unitary authority
GB-STS,Стафордшир,two-tier county
GB-STE,Стоук на Тренту,unitary authority
GB-SFK,Сафок,two-tier county
ENG,Енглеска,country
GB-WFT,Лондонска општина Волтам Форест,borough
NIR,Северна Ирска,country
SCT,Шкотска,country
GB-SWA,Свонзи,unitary authority (wales)
GB-WKF,Вејкфилд,metropolitan district
WLS,Велс,country
GB-WAR,Ворикшир,two-tier county
GB-WSM,Вестминстер,borough
GB-WIL,Вилтшир,unitary authority
GB-WLV,Вулверхемптон,metropolitan district
GB-YOR,Јорк,unitary authority
