id,name,level
IN-AN,Андамани и Никобари,union territory
IN-AP,Андра Прадеш,state
IN-AR,Аруначал Прадеш,state
IN-AS,Асам,state
IN-BR,Бихар,state
IN-CH,Чандигар,union territory
IN-CT,Чатисгар,state
IN-DN,Дадра и Нагар Хавели,union territory
IN-DD,Даман и Диу,union territory
IN-DL,Делхи,union territory
IN-GA,Гоа,state
IN-GJ,Гуџарат,state
IN-HR,Харајана,state
IN-HP,Химачал Прадеш,state
IN-JH,Џарканд,state
IN-KA,Карнатака,state
IN-KL,Керала,state
IN-LD,Лакадиви,union territory
IN-MP,Мадја Прадеш,state
IN-MH,Махараштра,state
IN-MN,Манипур,state
IN-ML,Мегхалаја,state
IN-MZ,Мизорам,state
IN-NL,Нагаланд,state
IN-OR,Ориса,state
IN-PY,Територија Пондишери,union territory
IN-RJ,Раџастан,state
IN-SK,Сиким,state
IN-TN,Тамил Наду,state
IN-TR,Трипура,state
IN-UP,Утар Прадеш,state
IN-UT,Утаранчал,state
IN-WB,Западни Бенгал,state
