id,name,level
IT-65,Абруцо,region
IT-AG,Агриђенто,province
IT-AL,Алесандрија,province
IT-AN,Анкона,province
IT-AO,Аоста,province
IT-AR,Арецо,province
IT-AP,Асколи Пичено,province
IT-AT,Асти,province
IT-AV,Авелино,province
IT-BA,Бари,province
IT-77,Базиликата,region
IT-BL,Белуно,province
IT-BN,Беневенто,province
IT-BG,Бергамо,province
IT-BI,Бјела,province
IT-BO,Болоња,province
IT-BZ,Болцано,province
IT-BS,Бреша,province
IT-BR,Бриндизи,province
IT-CA,Каљари,province
IT-78,Калабрија,region
IT-CL,Калтанисета,province
IT-72,Кампанија,region
IT-CB,Кампобасо,province
IT-CE,Казерта,province
IT-CT,Катанија,province
IT-CZ,Катанцаро,province
IT-CH,Кјети,province
IT-CO,Комо,province
IT-CS,Козенца,province
IT-CR,Кремона,province
IT-KR,Кротон,province
IT-CN,Кунео,province
IT-45,Емилија-Ромања,region
IT-EN,Ена,province
IT-FM,Фермо,province
IT-FE,Ферара,province
IT-FI,Фиренца,province
IT-FG,Фођа,province
IT-FO,Форли,
IT-36,Фурланија-Јулијска крајина,region
IT-FR,Фрозиноне,province
IT-GE,Ђенова,province
IT-GO,Горица,province
IT-GR,Гросето,province
IT-IM,Империја,province
IT-IS,Изернија,province
IT-BT,Барлета-Андрија-Трани,province
IT-CI,Карбонија-Иглезијас,province
IT-FC,Форли-Чезена,province
IT-75,Апулија,region
IT-SP,Ла Специја,province
IT-62,Лацио,region
IT-LE,Лече,province
IT-LC,Леко,province
IT-42,Лигурија,region
IT-LI,Ливорно,province
IT-25,Ломбардија,region
IT-LU,Лука,province
IT-MC,Мачерата,province
IT-MN,Мантова,province
IT-57,Марке,region
IT-MT,Матера,province
IT-ME,Месина,province
IT-MI,Милано,province
IT-MO,Модена,province
IT-67,Молизе,region
IT-NA,Напуљ,province
IT-NO,Новара,province
IT-NU,Нуоро,province
IT-OR,Ористано,province
IT-PD,Падова,province
IT-PA,Палермо,province
IT-PR,Парма,province
IT-PV,Павија,province
IT-PG,Перуђа,province
IT-PE,Пескара,province
IT-PC,Пјаченца,province
IT-21,Пијемонт,region
IT-PI,Пиза,province
IT-PT,Пистоја,province
IT-PN,Порденоне,province
IT-PZ,Потенца,province
IT-PO,Прато,province
IT-MS,Маса-Карара,province
IT-MA,Медио Кампидано,province
IT-MB,Монца и Бријанца,province
IT-OG,Ољастра,province
IT-OL,Олбија-Темпио,province
IT-PU,Пезаро и Урбино,province
IT-RG,Рагуза,province
IT-RA,Равена,province
IT-RC,Ређо ди Калабрија,province
IT-RE,Ређо Емилија,province
IT-23,Долина Аосте,region
IT-VB,Вербано-Кузио-Осола,province
IT-RI,Ријети,province
IT-RN,Римини,province
IT-RO,Ровиго,province
IT-SA,Салерно,province
IT-88,Сардинија,region
IT-SS,Сасари,province
IT-SV,Савона,province
IT-82,Сицилија,region
IT-SI,Сијена,province
IT-SO,Сондрио,province
IT-TA,Таранто,province
IT-TE,Терамо,province
IT-TR,Терни,province
IT-TP,Трапани,province
IT-32,Трентино-Јужни Тирол,region
IT-TN,Тренто,province
IT-TV,Тревизо,province
IT-TS,Трст,province
IT-TO,Торино,province
IT-52,Тоскана,region
IT-UD,Удине,province
IT-55,Умбрија,region
IT-VA,Варезе,province
IT-34,Венето,region
IT-VE,Венеција,province
IT-VC,Верчели,province
IT-VR,Верона,province
IT-VV,Вибо Валенција,province
IT-VI,Виченца,province
IT-VT,Витербо,province
