id,name,level
PL-WP,Војводство Великопољско,voivodship
PL-KP,Војводство Кујавско-Поморје,voivodship
PL-MA,Војводство Малопољско,voivodship
PL-DS,Војводство Доње Шлеско,voivodship
PL-LU,Војводство Лублин,voivodship
PL-LB,Војводство Лубуш,voivodship
PL-MZ,Војводство Мазовско,voivodship
PL-OP,Војводство Опоље,voivodship
PL-PK,Војводство Поткарпатје,voivodship
PL-PD,Војводство Подласко,voivodship
PL-PM,Војводство Поморје,voivodship
PL-SL,Војводство Шлеско,voivodship
PL-WN,Варминско-мазурско војводство,voivodship
PL-ZP,Војводство Западно Поморје,voivodship
PL-SK,Војводство Светокришко,voivodship
