id,name,level
RO-BC,Бакау,county
RO-BH,Бихор,county
RO-BN,Бистрица-Насауд,county
RO-BT,Ботошани,county
RO-BV,Брашов,county
RO-BR,Браила,county
RO-B,Букурешт,city
RO-BZ,Бузау,county
RO-CS,Караш-Северин,county
RO-CJ,Клуж-Напока,county
RO-CT,Констанца,county
RO-CV,Ковасна,county
RO-CL,Калараш,county
RO-DJ,Долж,county
RO-GL,Галаци,county
RO-GR,Ђурђу,county
RO-GJ,Горж,county
RO-HR,Харгита,county
RO-HD,Хунедоара,county
RO-IS,Јаши,county
RO-IF,Илфов,county
RO-MM,Марамуреш,county
RO-MH,Мехединци,county
RO-MS,Муреш,county
RO-NT,Њамц,county
RO-OT,Олт,county
RO-SM,Сату Маре,county
RO-SB,Сибињ,county
RO-SV,Сучава,county
RO-TR,Телеорман,county
RO-TL,Тулча,county
RO-VS,Васлуј,county
RO-VL,Валча,county
