id,name,level
RS-00,Београд,city
RS-14,Борски управни округ,district
RS-11,Браничевски управни округ,district
RS-02,Средњобанатски управни округ,district
RS-23,Јабланички управни округ,district
RS-09,Колубарски управни округ,district
RS-29,Косовскопоморавски управни округ,district
RS-25,Косовски управни округ,district
RS-08,Мачвански управни округ,district
RS-17,Моравички управни округ,district
RS-20,Нишавски управни округ,district
RS-03,Севернобанатски управни округ,district
RS-01,Севернобачки управни округ,district
RS-22,Пиротски управни округ,district
RS-10,Подунавски управни округ,district
RS-13,Поморавски управни округ,district
RS-24,Пчињски управни округ,district
RS-19,Расински управни округ,district
RS-04,Јужнобанатски управни округ,district
RS-07,Сремски управни округ,district
RS-16,Златиборски управни округ,district
RS-12,Шумадијски управни округ,district
RS-28,Косовскомитровачки округ,district
RS-26,Пећки округ,district
RS-27,Призренски округ,district
