id,name,level
UA-71,Черкашка област,region
UA-77,Чернивачка област,region
UA-43,Крим,autonomous republic
UA-12,Дњепропетровска област,region
UA-14,Доњечка област,region
UA-63,Харковска област,region
UA-65,Херсонска област,region
UA-68,Хмељничка област,region
UA-30,Кијев,region
UA-32,Кијевска област,region
UA-35,Кировоградска област,region
UA-09,Луганска област,region
UA-46,Лавовска област,region
UA-48,Миколајивска област,region
UA-51,Одешка област,region
UA-53,Полтавска област,region
UA-56,Ривањска област,region
UA-40,Севастопољ,region
UA-59,Сумска област,region
UA-61,Тернопољска област,region
UA-07,Волињска област,region
UA-23,Запорошка област,region
UA-18,Житомирска област,region
