id,name,level
US-AL,Алабама,state
US-AK,Аљаска,state
US-AS,Америчка Самоа,outlying area
US-AZ,Аризона,state
US-AR,Арканзас,state
US-CA,Калифорнија,state
US-CO,Колорадо,state
US-CT,Конектикат,state
US-DE,Делавер,state
US-FL,Флорида,state
US-GU,Гвам,outlying area
US-HI,Хаваји,state
US-ID,Ајдахо,state
US-IL,Илиноис,state
US-IN,Индијана,state
US-IA,Ајова,state
US-KS,Канзас,state
US-KY,Кентаки,state
US-LA,Луизијана,state
US-ME,Мејн,state
US-MD,Мериленд,state
US-MA,Масачусетс,state
US-MI,Мичиген,state
US-MN,Минесота,state
US-MS,Мисисипи,state
US-MO,Мисури,state
US-MT,Монтана,state
US-NE,Небраска,state
US-NV,Невада,state
US-NH,Њу Хемпшир,state
US-NJ,Њу Џерзи,state
US-NM,Нови Мексико,state
US-NY,Њујорк,state
US-NC,Северна Каролина,state
US-ND,Северна Дакота,state
US-MP,Северна Маријанска острва,outlying area
US-OH,Охајо,state
US-OK,Оклахома,state
US-OR,Орегон,state
US-PA,Пенсилванија,state
US-PR,Порторико,outlying area
US-RI,Роуд Ајланд,state
US-SC,Јужна Каролина,state
US-SD,Јужна Дакота,state
US-TN,Тенеси,state
US-TX,Тексас,state
US-UT,Јута,state
US-DC,Вашингтон,district
US-VT,Вермонт,state
US-VI,Девичанска острва,outlying area
US-VA,Вирџинија,state
US-WA,Вашингтон,state
US-WV,Западна Вирџинија,state
US-WI,Висконсин,state
US-WY,Вајоминг,state
