Абруцо (IT-65)
Агриђенто (IT-AG)
Алесандрија (IT-AL)
Анкона (IT-AN)
Аоста (IT-AO)
Арецо (IT-AR)
Асколи Пичено (IT-AP)
Асти (IT-AT)
Авелино (IT-AV)
Бари (IT-BA)
Базиликата (IT-77)
Белуно (IT-BL)
Беневенто (IT-BN)
Бергамо (IT-BG)
Бјела (IT-BI)
Болоња (IT-BO)
Болцано (IT-BZ)
Бреша (IT-BS)
Бриндизи (IT-BR)
Каљари (IT-CA)
Калабрија (IT-78)
Калтанисета (IT-CL)
Кампанија (IT-72)
Кампобасо (IT-CB)
Казерта (IT-CE)
Катанија (IT-CT)
Катанцаро (IT-CZ)
Кјети (IT-CH)
Комо (IT-CO)
Козенца (IT-CS)
Кремона (IT-CR)
Кротон (IT-KR)
Кунео (IT-CN)
Емилија-Ромања (IT-45)
Ена (IT-EN)
Фермо (IT-FM)
Ферара (IT-FE)
Фиренца (IT-FI)
Фођа (IT-FG)
Форли (IT-FO)
Фурланија-Јулијска крајина (IT-36)
Фрозиноне (IT-FR)
Ђенова (IT-GE)
Горица (IT-GO)
Гросето (IT-GR)
Империја (IT-IM)
Изернија (IT-IS)
Барлета-Андрија-Трани (IT-BT)
Карбонија-Иглезијас (IT-CI)
Форли-Чезена (IT-FC)
Апулија (IT-75)
Ла Специја (IT-SP)
Лацио (IT-62)
Лече (IT-LE)
Леко (IT-LC)
Лигурија (IT-42)
Ливорно (IT-LI)
Ломбардија (IT-25)
Лука (IT-LU)
Мачерата (IT-MC)
Мантова (IT-MN)
Марке (IT-57)
Матера (IT-MT)
Месина (IT-ME)
Милано (IT-MI)
Модена (IT-MO)
Молизе (IT-67)
Напуљ (IT-NA)
Новара (IT-NO)
Нуоро (IT-NU)
Ористано (IT-OR)
Падова (IT-PD)
Палермо (IT-PA)
Парма (IT-PR)
Павија (IT-PV)
Перуђа (IT-PG)
Пескара (IT-PE)
Пјаченца (IT-PC)
Пијемонт (IT-21)
Пиза (IT-PI)
Пистоја (IT-PT)
Порденоне (IT-PN)
Потенца (IT-PZ)
Прато (IT-PO)
Маса-Карара (IT-MS)
Медио Кампидано (IT-MA)
Монца и Бријанца (IT-MB)
Ољастра (IT-OG)
Олбија-Темпио (IT-OL)
Пезаро и Урбино (IT-PU)
Рагуза (IT-RG)
Равена (IT-RA)
Ређо ди Калабрија (IT-RC)
Ређо Емилија (IT-RE)
Долина Аосте (IT-23)
Вербано-Кузио-Осола (IT-VB)
Ријети (IT-RI)
Римини (IT-RN)
Ровиго (IT-RO)
Салерно (IT-SA)
Сардинија (IT-88)
Сасари (IT-SS)
Савона (IT-SV)
Сицилија (IT-82)
Сијена (IT-SI)
Сондрио (IT-SO)
Таранто (IT-TA)
Терамо (IT-TE)
Терни (IT-TR)
Трапани (IT-TP)
Трентино-Јужни Тирол (IT-32)
Тренто (IT-TN)
Тревизо (IT-TV)
Трст (IT-TS)
Торино (IT-TO)
Тоскана (IT-52)
Удине (IT-UD)
Умбрија (IT-55)
Варезе (IT-VA)
Венето (IT-34)
Венеција (IT-VE)
Верчели (IT-VC)
Верона (IT-VR)
Вибо Валенција (IT-VV)
Виченца (IT-VI)
Витербо (IT-VT)
