Бакау (RO-BC)
Бихор (RO-BH)
Бистрица-Насауд (RO-BN)
Ботошани (RO-BT)
Брашов (RO-BV)
Браила (RO-BR)
Букурешт (RO-B)
Бузау (RO-BZ)
Караш-Северин (RO-CS)
Клуж-Напока (RO-CJ)
Констанца (RO-CT)
Ковасна (RO-CV)
Калараш (RO-CL)
Долж (RO-DJ)
Галаци (RO-GL)
Ђурђу (RO-GR)
Горж (RO-GJ)
Харгита (RO-HR)
Хунедоара (RO-HD)
Јаши (RO-IS)
Илфов (RO-IF)
Марамуреш (RO-MM)
Мехединци (RO-MH)
Муреш (RO-MS)
Њамц (RO-NT)
Олт (RO-OT)
Сату Маре (RO-SM)
Сибињ (RO-SB)
Сучава (RO-SV)
Телеорман (RO-TR)
Тулча (RO-TL)
Васлуј (RO-VS)
Валча (RO-VL)
